宿名,楽天ID,じゃらんID,YahooID,緯度,経度,住所,電話番号
名古屋マリオットアソシアホテル,12543,,,35.17062173,136.8829775,愛知県名古屋市中村区名駅1-1-4,052-584-1111
名古屋ＪＲゲートタワーホテル,158556,,,35.172237,136.8822114,愛知県名古屋市中村区名駅1-1-3,052-566-2111
三交イン名古屋新幹線口ＡＮＮＥＸ,164885,,,35.16970881,136.8800766,愛知県名古屋市中村区椿町７－４ ,052-756-3541
三交イン名古屋新幹線口,10658,,,35.1699396,136.8798167,愛知県名古屋市中村区椿町7-23,052-453-3511
名古屋フラワーホテル,3095,,,35.16903973,136.8812749,愛知県名古屋市中村区椿町15-4,052-451-2222
東横ＩＮＮ名古屋駅新幹線口,108396,,,35.16952853,136.8796917,愛知県名古屋市中村区椿町7-16,052-856-1045
ミユキステーションホテル名古屋,11229,,,35.16882863,136.8805972,愛知県名古屋市中村区椿町14-4,052-452-4001
名古屋サミットホテル,609,,,35.1703423,136.8787723,愛知県名古屋市中村区椿町5-5,052-451-0333
ダイワロイネットホテル名古屋新幹線口,106198,,,35.17199212,136.8790139,愛知県名古屋市中村区椿町1-23,052-452-7055
エコホテル名古屋,130629,,,35.16872586,136.8805056,愛知県名古屋市中村区椿町14-5,052-462-1777
ホテル　プリズム,184834,,,35.171313,136.878646,愛知県名古屋市中村区椿町3-15,052-485-6919
第一富士ホテル名古屋駅前,811,,,35.16891471,136.8797389,愛知県名古屋市中村区椿町13-17,052-452-1111
ホステル　わさび名古屋駅前,149244,,,35.1687862,136.8799673,愛知県名古屋市中村区椿町13-5,052-451-8380
ビジネスホテル第３スターナゴヤ,31251,,,35.16894248,136.8793529,愛知県名古屋市中村区椿町11-4,052-452-0033
第２スターナゴヤ,17706,,,35.16874528,136.8795862,愛知県名古屋市中村区椿町13-12,052-452-0022
ナゴヤエキ　アクセスホテル,171881,,,35.1691835,136.8789914,愛知県名古屋市中村区椿町11-15,052-454-3760
名鉄イン名古屋駅新幹線口,153532,,,35.17202154,136.8784468,愛知県名古屋市中村区則武1丁目6番3号,052-453-3434
アパホテル〈名古屋駅前〉,182742,,,35.17250592,136.8787842,愛知県名古屋市中村区則武1-5-3,0570-074-011
アパホテル〈名古屋駅前北〉,179997,,,35.1730248,136.878949,愛知県名古屋市中村区則武1-2-4,0570-075-611
ナゴヤグランドホテル,29247,,,35.16790097,136.8812472,愛知県名古屋市中村区椿町17-21,052-451-0688
ＳＥＶＥＮ　ＳＴＯＲＩＥＳ／民泊,170636,,,35.1736689,136.8829447,愛知県名古屋市中村区名駅2-40-12　ＭＮビル,052-589-2750
Ａｎｏｔｈｅｒ　Ｓｋｙ　名古屋駅前　＾,195081,,,35.1728726,136.8786471,愛知県名古屋市中村区則武1-4-14,050-1721-4419
ヴィアイン名古屋駅前椿町（ＪＲ西日本グループ）,166315,,,35.16947435,136.8780668,愛知県名古屋市中村区椿町9番13号,052-451-5489
チサンイン名古屋,176,,,35.1721246,136.8779424,愛知県名古屋市中村区則武1-12-8,052-452-3211
ダイワロイネットホテル名古屋太閤通口,153417,,,35.16775897,136.8805868,愛知県名古屋市中村区椿町18-10,052-459-3155
ワシントンＲ＆Ｂホテル名古屋新幹線口,172892,,,35.17130154,136.8775327,愛知県名古屋市中村区則武2-2-13,052-451-8585
相鉄フレッサイン　名古屋駅新幹線口,182813,,,35.1678309,136.879884,愛知県名古屋市中村区椿町19-16,052-433-2037
スマイルホテル名古屋新幹線口,177,,,35.1680594,136.879314,愛知県名古屋市中村区椿町21-20,052-452-3355
ヴィアイン名古屋新幹線口（ＪＲ西日本グループ）,141916,,,35.168453,136.878373,愛知県名古屋市中村区竹橋町4-5,052-453-5489
モンブランホテルラフィネ名古屋駅前,183105,,,35.1734552,136.8844986,愛知県名古屋市中村区名駅3-13-27,052-541-1121
和風ホテル　一富久,8196,,,35.16861193,136.8781919,愛知県名古屋市中村区竹橋町4-3,052-452-0129
名鉄グランドホテル,2004,,,35.16827046,136.8844413,愛知県名古屋市中村区名駅1-2-4,052-582-2211
コンフォートホテル名古屋新幹線口,176905,,,35.17215794,136.8774121,愛知県名古屋市中村区則武1-13-7,052-453-3111
