宿名,楽天ID,じゃらんID,YahooID,緯度,経度,住所,電話番号
ホテルクリオコート博多,7251,,,33.5898464,130.4217318,福岡県福岡市博多区博多駅中央街5-3,092-472-1111
オリエンタルホテル福岡　博多ステーション,168722,,,33.59055812,130.4219693,福岡県福岡市博多区博多駅中央街4-23,092-461-0170
ホテルセンチュリーアート＜博多駅＞,3096,,,33.58895763,130.4221678,福岡県福岡市博多区博多駅中央街5-15,092-473-2111
博多ターミナルホテル,2959,,,33.58930759,130.4225484,福岡県福岡市博多区博多駅東2-1-26,092-474-2121
都ホテル博多,172310,,,33.58983616,130.4226565,福岡県福岡市博多区博多駅東2-1-1,092-441-3111
ＴＫＰサンライフホテル,1227,,,33.59014083,130.4226372,福岡県福岡市博多区博多駅東1-12-3,092-473-7112
ＦＯＲＺＡ　ホテルフォルツァ博多駅筑紫口Ⅰ,170,,,33.59109071,130.4219734,福岡県福岡市博多区博多駅中央街4-16 ,092-473-7111
リッチモンドホテル博多駅前,16445,,,33.58823826,130.4220012,福岡県福岡市博多区博多駅中央街6-17,092-433-0011
博多グリーンホテル2号館,797,,,33.59128513,130.421815,福岡県福岡市博多区博多駅中央街3-11,092-451-4111
博多グリーンホテルアネックス,80574,,,33.59132359,130.4220433,福岡県福岡市博多区博多駅中央街4-32,092-451-4112
マースガーデンホテル博多,9227,,,33.591449,130.422065,福岡県福岡市博多区博多駅中央街4-10,092-434-1311
ＫＯＫＯ　ＨＯＴＥＬ　Ｐｒｅｍｉｅｒ　博多（旧：テンザホテル・博多ステーション）,183138,,,33.5882169,130.4226571,福岡県福岡市博多区博多駅東2-5-33,092-472-0211
ＪＲ九州ホテル　ブラッサム博多中央,140977,,,33.58988727,130.4180438,福岡県福岡市博多区博多駅前2-2-11,092-477-8739
ＦＯＲＺＡ　ホテルフォルツァ博多駅筑紫口II,177813,,,33.59032926,130.4233649,福岡県福岡市博多区博多駅東1-13-3,092-473-7114
ＪＲ九州ホテル　ブラッサム福岡,2960,,,33.58956869,130.423526,福岡県福岡市博多区博多駅東2-2-4,092-413-8787
博多天然温泉「旅人の湯」ホテルルートイン博多駅前　－博多口－,65439,,,33.59152116,130.4188264,福岡県福岡市博多区博多駅前1-1-20,092-477-8885
博多グリーンホテル１号館,147709,,,33.59187212,130.422029,福岡県福岡市博多区博多駅中央街4-4,092-451-4110
ハカタビジネスホテル,4951,,,33.59044904,130.4178043,福岡県福岡市博多区博多駅前2-16-3,092-431-0737
コンフォートホテル博多,29211,,,33.59090732,130.4179793,福岡県福岡市博多区博多駅前2-1-1,092-431-1211
サンビジネスホテル,14811,,,33.59052335,130.4176678,福岡県福岡市博多区博多駅前2-16-16,092-411-1155
ホテル　キャビナス福岡,27861,,,33.59114896,130.4179682,福岡県福岡市博多区博多駅前2-18-1,092-436-8880
FORZA　ホテルフォルツァ博多駅博多口,158367,,,33.59087744,130.4177566,福岡県福岡市博多区博多駅前2-1-15,092-473-7113
西鉄ホテル　クルーム博多,41372,,,33.59237108,130.4199957,福岡県福岡市博多区博多駅前一丁目１７番６号,092-413-5454
ＨＥＡＲＴＳカプセルホテル＆スパ博多,172017,,,33.5870831,130.4196808,福岡県福岡市博多区博多駅前4-14-13 ,092-477-9700
東横ＩＮＮ博多口駅前,54538,,,33.59195166,130.4187875,福岡県福岡市博多区博多駅前1-15-5,092-451-1045
ＨＯＴＥＬ　ＬＡ　ＦＯＲＥＳＴＡ　〜　ＢＹ　ＲＩＧＮＡ　〜（ホテル　ラ　フォレスタ）,145396,,,33.59224526,130.4220728,福岡県福岡市博多区博多駅東1-1-29,092-483-7711
デュークスホテル博多,8287,,,33.58986854,130.4173266,福岡県福岡市博多区博多駅前2-3-9,092-472-1800
東洋ホテル＜福岡＞,548,,,33.59189063,130.4228733,福岡県福岡市博多区博多駅東1-9-36,092-474-1121
東横ＩＮＮ博多駅バスターミナル前,108325,,,33.59227385,130.4190986,福岡県福岡市博多区博多駅前1-16-6,092-437-1045
アパホテル〈博多駅筑紫口〉,182019,,,33.59130381,130.423611,福岡県福岡市博多区博多駅東1-14-1(セントラル棟)／福岡市博多区博多駅東1-11-11(ウエスト棟),0570-056-311
博多東急ＲＥＩホテル,76922,,,33.59195443,130.4182292,福岡県福岡市博多区博多駅前1-2-23,092-451-0109
Ｎ．３３　Ｈａｋａｔａ　Ｓｔａ．　Ｅａｓｔ,177748,,,33.5911429,130.4240149,福岡県福岡市博多区博多駅東1-14-30,050-1720-7129
ＫＯＫＯ　ＨＯＴＥＬ　博多新幹線口　（旧：ホテルウィングインターナショナル博多新幹線口）,161262,,,33.5900618,130.4244508,福岡県福岡市博多区博多駅東1-17-17,924310111
博多駅前エスビーホテル,10979,,,33.59235161,130.418307,福岡県福岡市博多区博多駅前1-14-3,092-411-1171
ｔｈｅ　ｂ　博多（ザビー　はかた）,70283,,,33.58696065,130.4230706,福岡県福岡市博多区博多駅南1-3-9,092-415-3333
ＡＮＡクラウンプラザホテル福岡　ｂｙ　ＩＨＧ,345,,,33.58736328,130.4177322,福岡県福岡市博多区博多駅前3-3-3,092-471-7111
アパホテル＆リゾート〈博多駅東〉,182017,,,33.5904976,130.4247264,福岡県福岡市博多区博多駅東1-18-1,0570-009-011
ナインアワーズ博多駅,181186,,,33.58896601,130.4166548,福岡県福岡市博多区博多駅前3-22-2,050-1807-3481
ＳＭＡＲＴ　ＳＴＡＹ　ＨＡＫＡＴＡ／民泊,190039,,,33.5931047,130.4214901,福岡県福岡市博多区博多駅東1-2-5　日之出ビル博多駅前1001,050-5539-2234
エスパース博多駅東,168582,,,33.59240093,130.4233162,福岡県福岡市博多区博多駅東1-9-8,092-611-1202
ホテル日航福岡,2325,,,33.59150168,130.4171266,福岡県福岡市博多区博多駅前2-18-25　,092-482-1111
