宿名,楽天ID,じゃらんID,YahooID,緯度,経度,住所,電話番号
草津温泉　ホテル一井,39705,,,36.62289839,138.596117,群馬県吾妻郡草津町草津411,0279-88-0011
草津温泉　草津舘,106048,,,36.62253176,138.5960503,群馬県吾妻郡草津町草津甲419,0279-88-2027
草津温泉　益成屋旅館,147469,,,36.6232115,138.5959362,群馬県吾妻郡草津町草津406,0279-88-2005
草津温泉　中村屋旅館＜群馬県＞,31675,,,36.62233457,138.5962892,群馬県吾妻郡草津町草津98,0279-88-2209
草津温泉きむらや,188294,,,36.6228877,138.5968377,群馬県吾妻郡草津町大字草津117-1,0279-82-5920
草津温泉　旅館八雲（やぐも）,4695,,,36.62245124,138.5968003,群馬県吾妻郡草津町草津温泉100,0279-88-2138
草津温泉　奈良屋,70807,,,36.62342333,138.5960642,群馬県吾妻郡草津町草津396,0279-88-2311
草津温泉　群龍館,67285,,,36.62340645,138.595783,群馬県吾妻郡草津町大字草津394-2,0279-88-2079
草津温泉　湯畑展望露天の宿　ぬ志勇旅館（ぬしゆうりょかん）,108587,,,36.62205682,138.596167,群馬県吾妻郡草津町446,0279-88-2477
草津温泉　湯畑泉水,189254,,,36.6233336,138.5954613,群馬県吾妻郡草津町草津392ー1,0279-82-5901
草津温泉　湯畑草菴（そうあん）,139908,,,36.62280574,138.5971943,群馬県吾妻郡草津町118-1,0279-89-1011
草津温泉　お宿　平の家,130704,,,36.62288731,138.5972474,群馬県吾妻郡草津町草津121-2,0279-88-1126
湯川テラス,180101,,,36.6237026,138.5962279,群馬県吾妻郡草津町草津375,0279-82-5911
草津温泉　薬師の湯　湯元館,17838,,,36.62339281,138.597053,群馬県吾妻郡草津町366,0279-88-3394
三関屋旅館,173180,,,36.6224095,138.5972457,群馬県吾妻郡草津町草津99,0279-88-7613
草津温泉　松村屋旅館,2029,,,36.6233567,138.597178,群馬県吾妻郡草津町365,0279-88-2323
草津温泉　大東舘,129576,,,36.62326783,138.597303,群馬県吾妻郡草津町草津126,0279-88-2611
草津温泉　日新館,7128,,,36.62349528,138.5971445,群馬県吾妻郡草津町草津368,0279-88-2013
草津温泉　湯畑の宿　佳乃や,143323,,,36.622044,138.597144,群馬県吾妻郡草津町草津95,0279-88-2422
草津温泉　ふたばや,149296,,,36.6221422,138.5973222,群馬県吾妻郡草津町草津142-1,0279-88-5403
草津温泉　飯島館,136143,,,36.62167077,138.5965448,群馬県吾妻郡草津町草津447-8,0279-88-3457
草津温泉　源泉一乃湯,176541,,,36.6227213,138.5976692,群馬県吾妻郡草津町草津135,0279-89-8122
草津温泉　お豆の小宿　花いんげん,158384,,,36.62182,138.5970778,群馬県吾妻郡草津町92,0279-88-3447
草津温泉　望雲,4904,,,36.62301223,138.5946615,群馬県吾妻郡草津町433-1,0279-88-3251
草津温泉　末広屋旅館＜群馬県＞,38917,,,36.62145135,138.5966503,群馬県吾妻郡草津町草津55,0279-88-3316
草津温泉　ての字屋,136868,,,36.62335672,138.5978974,群馬県吾妻郡草津町草津360,0279-88-3177
草津温泉　源泉・大日の湯　極楽館,130484,,,36.62357605,138.5946365,群馬県吾妻郡草津町草津507,0279-88-2142
