宿名,楽天ID,じゃらんID,YahooID,緯度,経度,住所,電話番号
ホテルグランヴィア広島サウスゲート,192812,,,34.3973575,132.4752005,広島県広島市南区松原町2-37,082-262-3300
ホテルグランヴィア広島,1366,,,34.39908884,132.475379,広島県広島市南区松原町1-5,082-262-1111
広島のお宿,168602,,,34.39683381,132.4729961,広島県広島市南区松原町10-1-2Ｆ,082-506-3111
シェラトングランドホテル広島,111269,,,34.39793068,132.4777538,広島県広島市東区若草町12-1,082-262-7111
ホテル川島　広島駅直結（広島駅南口）,5929,,,34.39563079,132.4745365,広島県広島市南区松原町5-1 ,082-263-3535
ランドーレジデンス広島スイーツ,173232,,,34.3978031,132.4726664,広島県広島市南区大須賀町13-9,082-207-3976
ヴィアインプライム広島新幹線口＜紅葉の湯＞（ＪＲ西日本グループ）,178452,,,34.3998107,132.4747149,広島県広島市南区松原町1-6,082-568-5489
アパホテル〈広島駅前新幹線口〉,191892,,,34.39988152,132.4740068,広島県広島市東区上大須賀町2-29,0570-005-711
ゲストハウス　ａｋｉｃａｆｅ　ｉｎｎ,137816,,,34.39519208,132.4762373,広島県広島市南区猿猴橋町2-7,070-5525-6971
グリーンリッチホテル広島新幹線口　人工温泉・二股湯の華,50772,,,34.39730299,132.478351,広島県広島市東区若草町22-14,082-263-5555
ホテルニュー三笠,166025,,,34.3969715,132.4783291,広島県広島市東区若草町22-7,082-261-4330
相鉄フレッサイン広島駅前,182635,,,34.3950627,132.4766677,広島県広島市南区猿猴橋町5-2,082-262-2031
ダイワロイネットホテル広島駅前,172592,,,34.40048925,132.4751097,広島県広島市東区二葉の里3-5-7,082-554-1455
イシキコンドミニアム　広島,181890,,,34.3947944,132.4762426,広島県広島市南区猿猴橋町5-12,050-5358-4635
石木ビル３階,180265,,,34.39478665,132.4762352,広島県広島市南区猿猴橋町5-12-301,092-980-4595
広島駅前グリーンホテル,8383,,,34.39733063,132.4716905,広島県広島市南区松原町10-27,082-264-3939
ＲＩＶＥＲ　ＷＥＳＴ　ＨＩＲＯＳＨＩＭＡ,188961,,,34.400239,132.4734936,広島県広島市東区上大須賀町1-6,082-506-1901
ゲストハウスＣＯＣＯ　広島,165842,,,34.3944856,132.4759572,広島県広島市南区猿猴橋町4-6,082-262-0291
アパホテル〈広島駅前大橋〉,153290,,,34.3958465,132.4717826,広島県広島市南区京橋町2-26,0570-006-111
ウィークリーアポイント２,111153,,,34.40048,132.473019,広島県広島市東区上大須賀町1-15,082-567-0100
東横ＩＮＮ広島駅前大橋南,108410,,,34.39426158,132.4740126,広島県広島市南区的場町1-1-1,082-568-1045
広島グランドインテリジェントホテル,695,,,34.39462819,132.4730488,広島県広島市南区京橋町1-4,082-263-5111
ＬＩＴ広島駅前,196786,,,34.3990672,132.471367,広島県広島市南区大須賀町15-6,082-567-5351
ネストホテル広島駅前,179344,,,34.3945714,132.477748,広島県広島市南区荒神町3-11,082-262-6250
天竜旅館,71915,,,34.39580024,132.4713739,広島県広島市南区京橋町3-13,082-263-1358
広島駅前ユニバーサルホテル新幹線口右,136267,,,34.39654477,132.4796287,広島県広島市東区若草町18-35,082-263-2300
東横ＩＮＮ広島駅新幹線口２,181136,,,34.3990603,132.4794735,広島県広島市東区光町1-13-27,082-569-1045
ＮＡＧＩ　Ｈｉｒｏｓｈｉｍａ　Ｈｏｔｅｌ　ａｎｄ　Ｌｏｕｎｇｅ,181120,,,34.3939886,132.4740881,広島県広島市南区的場町1-5-14,671676048
ＳＵＭＩＹＡ　Ｓｐａ＆Ｈｏｔｅｌ,162858,,,34.3951772,132.4718131,広島県広島市南区京橋町6-18,080-7259-5551
天然温泉ホテルリブマックスＰＲＥＭＩＵＭ広島,176743,,,34.40075094,132.472535,広島県広島市東区二葉の里1-1-7,082-567-2250
トラストホテル,183824,,,34.398234,132.4799657,広島県広島市東区光町1-14-10,082-569-6433
ホテルニューよりしろ,16705,,,34.3969042,132.4799764,広島県広島市東区若草町16-5,082-263-0418
アーバイン広島エグゼクティブ,71982,,,34.39707805,132.4800231,広島県広島市東区若草町16-13,082-567-6600
アークホテル広島駅南　－ルートインホテルズ－,707,,,34.3939575,132.4770987,広島県広島市南区西荒神町1-45 ,082-263-6363
ホテルクリスタル広島,13819,,,34.39756411,132.4801703,広島県広島市東区若草町10-3,082-264-5507
坂本ハウス　＾,185960,,,34.4000362,132.4713291,広島県広島市東区上大須賀町9-18　Ｓａｋａｍｏｔｏ　Ｈｏｕｓｅ,070-8999-1357
よりもと旅館,15153,,,34.39745857,132.4802647,広島県広島市東区若草町9-17,082-261-7786
東横ＩＮＮ広島駅新幹線口１,108355,,,34.40075815,132.4784814,広島県広島市東区光町2-6-25,082-506-1045
アパホテル〈広島駅前スタジアム口〉,192336,,,34.39499261,132.4791977,広島県広島市南区荒神町1-4,0570-021-011
ＫＯＫＯ　ＨＯＴＥＬ　広島駅前,181421,,,34.394091,132.4725257,広島県広島市南区京橋町10-3,082-568-5056
おうちホテル広島駅前／民泊,195621,,,34.3944409,132.4787198,広島県広島市南区東荒神町4-35Ｌ’ｓ東荒神　おうちホテル広島駅前,080-7259-5551
ホテル　広島ガーデンパレス,19348,,,34.39806961,132.4804563,広島県広島市東区光町1-15-21,082-262-1122
ザ　ロイヤルパークホテル　広島リバーサイド,167962,,,34.3976241,132.4700993,広島県広島市中区上幟町7-14,082-211-1111
Ｎｅｉｇｈｂｏｒ＇ｓ　Ｈｏｔｅｌ　広島駅北口,196107,,,34.4006577,132.4791254,広島県広島市東区光町2-7-24,050-3613-2060
ランドーホテル広島プレステージ,183970,,,34.3934083,132.4769074,広島県広島市南区西荒神町1-38,822611030
ホテル　フレックス,3100,,,34.39666123,132.470049,広島県広島市中区上幟町7-1,082-223-1000
広島インテリジェントホテル　スタジアム前,7591,,,34.39463944,132.479737,広島県広島市南区東荒神町3-36,082-263-7000
京橋旅館,52847,,,34.39380048,132.4717795,広島県広島市南区京橋町10-15,082-261-7668
ベッセルイン広島駅前（広島駅南口　広島１号店）,72053,,,34.393334,132.4782317,広島県広島市南区西蟹屋1-1-1,082-568-1177
ケイズハウス広島,111217,,,34.39247845,132.4738015,広島県広島市南区的場町1-8-9,082-568-7244
ボールパーク広島駅前,181413,,,34.393997,132.4801991,広島県広島市南区西蟹屋2-4-26,050-5358-4635
ｗｅｓｔ　ｃｒａｂ　ｂａｓｅ／民泊,185184,,,34.39394741,132.4806768,広島県広島市南区西蟹屋2-2-21　ｗｅｓｔ　ｃｒａｂ　ｂａｓｅ,090-9463-6375
東横ＩＮＮ広島駅南口右,108402,,,34.39665008,132.468213,広島県広島市中区幟町１－２６,082-502-1045
Ｐｅａｒｌ　Ｋａｍｉｎｏｂｏｒｉ　F＋,184714,,,34.3988692,132.468005,広島県広島市中区上幟町5-3　パール上幟502,090-3749-2035
ｆａｖ　広島スタジアム,184520,,,34.3929285,132.4804464,広島県広島市南区西蟹屋3-6-24,092-292-2431
ＲＥＤ　ＨＥＬＭＥＴ　ＨＯＵＳＥ＆ＳＰＯＲＴＳ　ＣＡＦＥＢＡＲ　ＨＩＲＯＳＨＩＭＡ,167571,,,34.3934441,132.4811429,広島県広島市南区西蟹屋2丁目-2-12,082-207-2324
東横ＩＮＮ広島駅スタジアム前,183015,,,34.3937215,132.48151,広島県広島市南区西蟹屋2丁目1-8,082-262-1045
ＢＬＵＥ　ＨＯＵＳＥ,181154,,,34.4023578,132.4700331,広島県広島市東区二葉の里1-2-33,090-8604-0619
広島インテリジェントホテルアネックス,5542,,,34.39251449,132.4704157,広島県広島市南区稲荷町３番２７号,082-263-7878
キュービック３０,172400,,,34.39083005,132.4735072,広島県広島市南区金屋町8-15,080-7259-5551
ｈｉｒｏｓｈｉｍａ　ｈｏｔｅｌ　和　ＮＡＧＯＭＩ,187414,,,34.3943174,132.467717,広島県広島市中区幟町9-18,050-5358-4635
ウィークリーマンション広陽,28653,,,34.39776139,132.484256,広島県広島市東区若草町3-26,082-261-5566
広島パークシティホテル,40965,,,34.39032035,132.4733016,広島県広島市南区金屋町9-17,082-261-3923
ホテルアクティブ！広島,40245,,,34.39336155,132.4676687,広島県広島市中区幟町15-3 ,082-212-0001
ホテル石本,13985,,,34.3900315,132.4734044,広島県広島市南区金屋町9-9,082-261-2939
ＬＡＺＵＬＩ　Ｈｉｒｏｓｈｉｍａ　Ｈｏｔｅｌ　＆　Ｌｏｕｎｇｅ　（ラズリヒロシマホテル＆ラウンジ）,181119,,,34.3905936,132.4794581,広島県広島市南区西蟹屋4-2-25,070-4141-6043
グランドベース広島駅前,177982,,,34.39700774,132.4847834,広島県広島市東区愛宕町3-5,092-292-2431
カプセルホテル　ＣＵＢＥ　広島,149121,,,34.3935217,132.467108,広島県広島市中区幟町14-5,082-511-3306
おうちホテル　比治山,183984,,,34.389867,132.4732003,広島県広島市南区松川町5-3,080-7259-5551
広島ワビサビホステル,163097,,,34.3948272,132.4662775,広島県広島市中区幟町7-28,082-294-0504
グランドベース広島光町,178603,,,34.3985616,132.4848678,広島県広島市東区光町1-1-6-1,092-292-2431
チサンホテル広島,56807,,,34.39347819,132.4668993,広島県広島市中区幟町14-7,082-511-1333
ＥＮ　ＨＯＴＥＬ　Ｈｉｒｏｓｈｉｍａ（エンホテル広島）,1751,,,34.39158122,132.468577,広島県広島市中区銀山町7-8,082-242-0505
ホテル　パオ,15181,,,34.39213114,132.4677188,広島県広島市中区銀山町3-12,082-246-1515
アーバイン広島セントラル,139450,,,34.3964194,132.4646539,広島県広島市中区鉄砲町5-20,082-511-5211
広島パシフィックホテル,3145,,,34.39808872,132.4644216,広島県広島市中区上八丁堀8-16,082-221-1231
ホテルインターゲート広島,168417,,,34.39607767,132.4645307,広島県広島市中区鉄砲町5-16,082-224-6110
