宿名,楽天ID,じゃらんID,YahooID,緯度,経度,住所,電話番号
ホテルルートイン　札幌駅前北口,56806,,,43.06901053,141.3493162,北海道札幌市北区北7条西4-2-2,050-1809-0904
ＪＲタワーホテル日航札幌,76941,,,43.06841349,141.3525965,北海道札幌市中央区北5条西2-5,011-251-2222
京急ＥＸホテル札幌,182561,,,43.06868998,141.3488075,北海道札幌市北区北6条西4丁目2-6,011-737-3910
ＪＲ東日本ホテルメッツ　プレミア　札幌,167971,,,43.07010936,141.3527213,北海道札幌市北区北7条西2丁目5-3,011-729-0011
ホテルマイステイズ札幌アスペン,625,,,43.07029647,141.3487329,北海道札幌市北区北８条西４丁目５番地,011-700-2111
京王プレリアホテル札幌,172272,,,43.07019681,141.348349,北海道札幌市北区北8条西4丁目-11-1,011-205-8111
札幌ワシントンホテルプラザ,183497,,,43.0692481,141.3539315,北海道札幌市北区北6条西1-3-9,011-708-0410
ホテルマイステイズ札幌駅北口,68288,,,43.07083531,141.34923,北海道札幌市北区北8条西4-15,011-729-4055
東横ＩＮＮ札幌駅北口,108414,,,43.0694273,141.3540352,北海道札幌市北区北６条西１－４－３,011-728-1045
ホテルサンルート札幌,11019,,,43.07042438,141.3532574,北海道札幌市北区北七条西1-1-22,011-737-8111
ホテルグレイスリー札幌,635,,,43.06636086,141.3494136,北海道札幌市中央区北4条西4丁目,011-251-3211
コンフォートホテルＥＲＡ札幌北口（２０２５年１２月１８日開業）,196705,,,43.0694738,141.3468195,北海道札幌市北区北七条西5-17-1,011-746-7411
東横ＩＮＮ札幌駅西口北大前,53225,,,43.07100191,141.3479635,北海道札幌市北区北8条西4-22-7,011-717-1045
ザ・ゲートホテル札幌　ｂｙ　ＨＵＬＩＣ,196683,,,43.06548543,141.3514125,北海道札幌市中央区北三条西3-1-44,011-206-4588
ＪＲイン札幌,72781,,,43.06713846,141.346836,北海道札幌市中央区北5条西6丁目1,011-233-3008
ホテルエミオン札幌,187155,,,43.070982,141.3541272,北海道札幌市北区北8条西1丁目4番地,011-374-6627
ソラリア西鉄ホテル札幌,180441,,,43.06575154,141.3484255,北海道札幌市中央区北4条西5-1-2,011-208-5555
ホテルパールシティ札幌,4685,,,43.06554885,141.3528099,北海道札幌市中央区北3条西2丁目,011-222-0511
ホテル京阪　札幌,79254,,,43.06772448,141.3461777,北海道札幌市北区北6条西6丁目1-9,011-758-0321
三井ガーデンホテル札幌（２０２６年２月１日リニューアルオープン）,104743,,,43.06650798,141.3470194,北海道札幌市中央区北5条西6-18-3,011-280-1131
Ｈｏｔｅｌ　Ｓｔｒｉｐｅ　札幌／民泊,195399,,,43.0694775,141.3460548,北海道札幌市北区北7条西6-2-27　Hotel Stripe 札幌,011-707-3110
ＦＯＲＺＡ　ホテルフォルツァ札幌駅前,178964,,,43.0653895,141.3527903,北海道札幌市中央区北三条西2丁目1-1,011-222-3555
三井ガーデンホテル札幌ウエスト,178218,,,43.06656838,141.3466126,北海道札幌市中央区北五条西6-2-4,011-218-2231
ＭＪステイズ　＾,175843,,,43.0726363,141.3493175,北海道札幌市北区北10条西3-24‐1　ＭＪステイズ,011-707-3110
アパホテル〈ＴＫＰ札幌駅北口〉ＥＸＣＥＬＬＥＮＴ,934,,,43.0727594,141.3499619,北海道札幌市北区北10条西3丁目7,011-756-7733
北海道クリスチャンセンター,31881,,,43.06939924,141.3451527,北海道札幌市北区北七条西6,011-736-3388
ワシントンＲ＆Ｂホテル札幌北３西２,18175,,,43.06472783,141.352744,北海道札幌市中央区北三条西2丁目1-30,011-210-1515
東横ＩＮＮ札幌駅南口,108347,,,43.06549169,141.3545882,北海道札幌市中央区北３条西１丁目１－１６,011-222-1045
ＡＮＡクラウンプラザホテル札幌　ｂｙ　ＩＨＧ,169,,,43.06579722,141.3550631,北海道札幌市中央区北3条西1丁目 ,011-221-4411
ホテルリブマックスＢＵＤＧＥＴ札幌駅前,149340,,,43.06764644,141.3450103,北海道札幌市北区北6条西7丁目5-7,011-747-2010
ＣＯＵＲＴ　ＶＩＬＬＡ　ＳＡＰＰＯＲＯ　１０２／民泊,194139,,,43.07149137,141.3554723,北海道札幌市東区北8条東1-1-11　コートヴィラ,050-5358-6064
ＣＯＵＲＴ　ＶＩＬＬＡ　ＳＡＰＰＲＯＲ　４０３／民泊,194140,,,43.07151782,141.3554442,北海道札幌市東区北8条東1-1-11　コートヴィラ,050-5358-6064
ＣＯＵＲＴ　ＶＩＬＬＡ　ＳＡＰＰＯＲＯ　５０３／民泊,194141,,,43.07153385,141.3554306,北海道札幌市東区東1-1-11　コートヴィラ札幌,050-5358-6064
リッチモンドホテル札幌駅前,50125,,,43.06506396,141.3544604,北海道札幌市中央区北3西1丁目1-7,011-218-8555
京王プラザホテル札幌,724,,,43.0664496,141.3453806,北海道札幌市中央区北5条西7丁目,011-271-0111
アパホテル〈ＴＫＰ札幌駅前〉,147185,,,43.06448808,141.3533251,北海道札幌市中央区北2条西2-19ＴＫＰ札幌ビル6F,050-1808-6533
ハイツＮ７／民泊,175806,,,43.0687641,141.3444966,北海道札幌市北区北7条西7-1-5　ハイツＮ7,011-707-3110
ＪＲイン札幌駅南口,153500,,,43.06536302,141.3551812,北海道札幌市中央区北3条西1丁目10番,011-231-8111
札幌ホテルｂｙグランベル,193304,,,43.0692283,141.3572301,北海道札幌市東区北6条東2-2-2,011-214-0914
ホテル法華クラブ札幌,127,,,43.0641279,141.3525135,北海道札幌市中央区北2条西3丁目,011-221-2141
Ｌａ　Ｐａｒｆａｉｔ　ｄｅ　Ｓａｐｐｏｒｏ／民泊,174767,,,43.0715485,141.3560324,北海道札幌市東区北8条東1-1-25,011-827-8018
クロスホテル札幌（オリックスホテルズ＆リゾーツ）,67259,,,43.06400015,141.3529884,北海道札幌市中央区北2条西2-23,011-272-0010
ニューオータニイン札幌,163,,,43.06457236,141.3546077,北海道札幌市中央区北2条西1丁目1-1,011-222-1111
ホテル時計台,2914,,,43.06384459,141.3523302,北海道札幌市中央区北２条西３丁目仲通り,011-222-7211
ＪＲイン札幌北２条,179085,,,43.06431043,141.3540919,北海道札幌市中央区北2条西2丁目8番地1,011-212-1256
ビジネスイン　ノルテII北大前,15493,,,43.07332941,141.3479161,北海道札幌市北区北十条西4-1-22,011-707-0066
ＨＧ　ＨＯＴＥＬ,197501,,,43.0725914,141.3553662,北海道札幌市東区北9条東1-2-7,011-300-8080
リージョニア　ｂｙ　クインテッサ　札幌駅前,198721,,,43.0640403,141.3538643,北海道札幌市中央区北二条西2-9,03-6910-1483
ＰＩＮＮ　Ｎ４Ｅ２－ＩＩ（旧ＧＬＯＷＬ－Ｎ４Ｅ２ＩＩ）,167881,,,43.06745231,141.3576701,北海道札幌市中央区北4条東2-1-2,050-5806-7385
ホテルモントレエーデルホフ札幌,7523,,,43.06466959,141.3554965,北海道札幌市中央区北２条西１丁目 1番地,011-242-7111
高橋邸／民泊,173710,,,43.0731473,141.3547589,北海道札幌市東区北9条東1-1-15,011-827-8018
Ｔｅｎ　ｔｏ　Ｔｅｎ　Ｈｏｓｔｅｌ,162877,,,43.06817442,141.3435294,北海道札幌市北区北７条西８丁目３－１２,011-205-0787
ＳＡＰＰＯＲＯ　ＨＩＬＬＳ,181475,,,43.0669384,141.3577858,北海道札幌市中央区北４条東2丁目8-6,011-374-4638
タクメナー／民泊,194760,,,43.07399592,141.3523718,北海道札幌市北区北10条西1-20-2タクメナー201．202．302．303．401．501．602．801．902．1001　ＴＡＫＵＭＡＮＯＲ,090-6446-8001
ＰＩＮＮ　Ｎ４Ｅ２－Ｉ（旧ＧＬＯＷＬ－Ｎ４Ｅ２Ｉ）,172147,,,43.06699989,141.3581222,北海道札幌市中央区北4条東2-8-7,050-5806-7385
ＫＯＫＯ　ＨＯＴＥＬ　札幌駅前,181422,,,43.063083,141.3521452,北海道札幌市中央区北一条西3丁目3-10,011-261-3489
札幌グランドホテル,762,,,43.06288076,141.3505693,北海道札幌市中央区北1条西4丁目,011-261-3311
ＴＯＷＮ　ＲＯＹＡＬ　６０１／民泊,199800,,,43.07051087,141.3587237,北海道札幌市東区北7条東3-15-77 タウンローヤル７３　６０１,080-7168-4911
ＴＯＷＮ　ＲＯＹＡＬ　７０１／民泊,199801,,,43.07051185,141.3587371,北海道札幌市東区北7条東3-15-77 タウンローヤル７３　７０１,080-7168-4911
Ｈｏｔｅｌ　Ｔｅｎ　ｔｏ　Ｔｅｎ,183433,,,43.0685967,141.3424593,北海道札幌市北区北7条西8-1-14,011-205-0787
ＳＡＰＰＯＲＯ　ＳＴＲＥＡＭ　ＨＯＴＥＬ,188162,,,43.055133,141.352701,北海道札幌市中央区南4条西4丁目1番地1,011-206-1099
東横ＩＮＮ札幌すすきの交差点,108354,,,43.0561206,141.3544027,北海道札幌市中央区南４条西３丁目4-1,011-207-1045
札幌東急ＲＥＩホテル,501,,,43.0551234,141.3515197,北海道札幌市中央区南4条西5丁目1,011-531-0109
ＡＮＡホリデイ・イン札幌すすきの　ｂｙ　ＩＨＧ,585,,,43.054768,141.3548721,北海道札幌市中央区南5条西3丁目７番地,011-512-5533
ザ　ノット　札幌,178396,,,43.05688226,141.3533205,北海道札幌市中央区南3条西3丁目16-2,0570-001-415
ＣＩＴＹ　ＣＡＢＩＮ　カプセルホテル　シティキャビン　すすきの,178903,,,43.05410253,141.3524868,北海道札幌市中央区南5条西4-5-4,011-206-7705
メルキュール札幌,79255,,,43.05562903,141.3556526,北海道札幌市中央区南4条西2丁目2-4,011-513-1100
シアテル札幌,180719,,,43.0556379,141.3508431,北海道札幌市 中央区南四条西5-8 F-45ビル 3階,050-3155-6535
ＢＩＺＣＯＵＲＴ　ＣＡＢＩＮすすきの－ルートインホテルズ－,162647,,,43.0544466,141.3512187,北海道札幌市中央区南五条西5-13-1　ＡＳＩＬＳＡＰＰＯＲＯ　4Ｆ,050-5847-7444
ホテルルートイン札幌中央,108142,,,43.05437071,141.3512419,北海道札幌市中央区南5条西5-13-1　ＡＳＩＬＳＡＰＰＯＲＯ　5Ｆ,050-1809-1048
ｔｈｅ　ｂ　札幌（ザビー　さっぽろ）,188716,,,43.0571059,141.354855,北海道札幌市中央区南3条西2-17-17,011-211-0412
ＷＳ　４／５階／民泊,190596,,,43.0536809,141.3543578,北海道札幌市中央区南6条西3-6-8　ＢＡＳＥ01ビル,011-707-3110
ニコーカプセルホテル　リフレ,67899,,,43.05717328,141.355272,北海道札幌市中央区南3条西2丁目14番地　ニコービル4F,011-261-0108
ホテルプラスホステル札幌,187308,,,43.056856,141.3509113,北海道札幌市中央区南3条西5-32　狸小路5丁目アーケード内,050-1807-4399
アパホテル〈札幌すすきの駅前〉,140844,,,43.05568531,141.3563523,北海道札幌市中央区南4条西2丁目2-5,0570-083-911
すすきのグランベルホテル,182562,,,43.0552329,141.3563698,北海道札幌市中央区南5条西2丁目6-2,011-252-7403
リッチモンドホテル札幌大通,10888,,,43.0576009,141.3521167,北海道札幌市中央区南二条西4-4-1,011-208-0055
