hotel_id,ota,ota_id,,
1,rakuten,15062,,
1,jalan,yad346870,,
1,yahoo,00030772,,
2,rakuten,172796,,
2,jalan,yad344384,,
2,yahoo,00907941,,
3,rakuten,14584,,
3,jalan,yad314427,,
3,yahoo,00030565,,
4,rakuten,166326,,
4,jalan,yad307933,,
4,yahoo,00050672,,
5,rakuten,177856,,
5,jalan,yad348214,,
5,yahoo,00050889,,
6,rakuten,145419,,
6,jalan,yad307948,,
6,yahoo,00002000,,
7,rakuten,149384,,
7,jalan,yad336920,,
7,yahoo,00030200,,
8,rakuten,141237,,
8,jalan,yad338738,,
8,yahoo,00904289,,
9,rakuten,67833,,
9,jalan,yad396860,,
9,yahoo,00050210,,
10,rakuten,184542,,
10,jalan,yad300252,,
10,yahoo,00913637,,
11,rakuten,192028,,
11,jalan,yad339796,,
11,yahoo,00917251,,
13,rakuten,135479,,
13,jalan,yad306902,,
13,yahoo,00080893,,
14,rakuten,178706,,
14,jalan,yad390322,,
14,yahoo,00002854,,
15,rakuten,29412,,
15,jalan,yad346964,,
15,yahoo,00002245,,
16,rakuten,145475,,
16,jalan,yad308366,,
16,yahoo,00002009,,
17,rakuten,166209,,
17,jalan,yad362292,,
17,yahoo,00081514,,
18,rakuten,167040,,
18,jalan,yad360945,,
18,yahoo,00002531,,
19,rakuten,147924,,
19,jalan,yad306315,,
19,yahoo,00050073,,
20,rakuten,167080,,
20,jalan,yad348236,,
20,yahoo,00050665,,
21,rakuten,182456,,
21,jalan,yad353162,,
21,yahoo,00002913,,
22,rakuten,185260,,
22,yahoo,,,
24,rakuten,14113,,
24,jalan,yad340320,,
24,yahoo,00001765,,
26,rakuten,167519,,
26,jalan,yad377388,,
26,yahoo,00002558,,
27,rakuten,196,,
27,jalan,yad353688,,
27,yahoo,00002346,,
32,rakuten,147591,,
32,jalan,yad387368,,
32,yahoo,00900362,,
35,rakuten,179299,,
35,jalan,yad370007,,
35,yahoo,00002795,,
36,rakuten,158893,,
36,jalan,,,
36,yahoo,00050098,,
38,rakuten,137980,,
38,jalan,,,
38,yahoo,00050199,,
39,rakuten,180678,,
39,jalan,yad302788,,
39,yahoo,00051103,,
40,rakuten,168497,,
40,yahoo,00050596,,
41,rakuten,107694,,
41,jalan,yad353548,,
41,yahoo,00903096,,rakuten
42,rakuten,189256,,jalan
42,jalan,yad351778,,yahoo
42,yahoo,00003218,,
43,rakuten,183032,,
43,jalan,yad328409,,
43,yahoo,00002924,,
44,rakuten,147428,,
44,jalan,yad314368,,
44,yahoo,00904509,,
45,rakuten,172742,,
45,jalan,yad338913,,
45,yahoo,00050745,,
46,rakuten,178695,,
46,jalan,yad356540,,
46,yahoo,00051060,,
47,rakuten,181704,,
47,jalan,yad337165,,
47,yahoo,00911577,,
48,rakuten,192611,,
48,jalan,yad355420,,
48,yahoo,00051999,,
49,rakuten,172758,,
49,jalan,yad384874,,
49,yahoo,00051002,,
50,rakuten,167492,,
50,jalan,,,
50,yahoo,00050614,,
51,rakuten,153099,,
51,jalan,yad363114,,
51,yahoo,00002292,,
52,rakuten,177513,,
52,jalan,yad320225,,
52,yahoo,00050886,,
53,rakuten,188469,,
53,jalan,yad378853,,
53,yahoo,00051744,,
54,rakuten,181071,,
54,jalan,yad354098,,
54,yahoo,,,
55,rakuten,167243,,
55,jalan,yad365372,,
55,yahoo,00050510,,
56,rakuten,196386,,
56,jalan,yad370540,,
56,yahoo,00052215,,
57,rakuten,16500,,
57,jalan,yad344156,,
57,yahoo,00030566,,
58,rakuten,183203,,
58,jalan,yad372508,,
58,yahoo,00913649,,
59,rakuten,176561,,
59,jalan,yad337360,,
59,yahoo,,,
60,rakuten,176957,,
60,jalan,yad345399,,
60,yahoo,00081891,,
61,rakuten,177015,,
61,jalan,yad373343,,
61,yahoo,00915466,,
62,rakuten,147412,,
62,jalan,yad347690,,
62,yahoo,00904473,,
63,rakuten,179380,,
63,jalan,yad306503,,
63,yahoo,00911038,,
64,rakuten,52144,,
64,jalan,yad358568,,
64,yahoo,,,
65,rakuten,168479,,
65,jalan,yad330944,,
65,yahoo,,,
66,rakuten,167318,,
66,jalan,yad337147,,
66,yahoo,,,
67,rakuten,43946,,
67,jalan,yad328453,,
67,yahoo,00920097,,
68,rakuten,29705,,
68,jalan,yad317948,,
68,yahoo,00080414,,
69,rakuten,160738,,
69,jalan,yad317298,,
69,yahoo,,,
70,rakuten,69316,,
70,jalan,yad361520,,
70,yahoo,00905972,,
71,rakuten,187251,,
71,jalan,yad392896,,
71,yahoo,00914543,,
72,rakuten,189095,,
72,jalan,yad389277,,
72,yahoo,00916996,,
73,rakuten,41003,,
73,jalan,yad377228,,
73,yahoo,00907218,,
74,rakuten,197409,,
74,jalan,,,
74,yahoo,00051705,,
75,rakuten,17980,,
75,jalan,yad329205,,
75,yahoo,00000603,,
76,rakuten,161143,,
76,jalan,yad380512,,
76,yahoo,00912721,,
77,rakuten,108996,,
77,jalan,yad353552,,
77,yahoo,00902752,,
78,rakuten,183693,,
78,jalan,yad379241,,
78,yahoo,00913481,,
79,rakuten,162863,,
79,jalan,yad384528,,
79,yahoo,00911753,,
80,rakuten,190775,,
80,jalan,yad361765,,
80,yahoo,00051960,,
81,rakuten,172611,,
81,jalan,yad312173,,
81,yahoo,00002629,,
82,rakuten,141596,,
82,jalan,yad311816,,
82,yahoo,00001902,,
83,rakuten,78239,,
83,jalan,yad360623,,
83,yahoo,00001519,,
84,rakuten,54315,,
84,jalan,yad327873,,
84,yahoo,00000828,,
85,rakuten,52229,,
85,jalan,yad315138,,
85,yahoo,00031065,,
86,rakuten,183576,,
86,jalan,yad364693,,
86,yahoo,00002955,,
87,rakuten,166320,,
87,jalan,yad383182,,
87,yahoo,00002526,,
88,rakuten,184015,,
88,jalan,yad336580,,
88,yahoo,00002989,,
89,rakuten,38282,,
89,jalan,yad351678,,
89,yahoo,00081270,,
90,rakuten,50220,,
90,jalan,yad319590,,
90,yahoo,00080129,,
91,rakuten,172986,,
91,jalan,yad382520,,
91,yahoo,00002682,,
92,rakuten,192084,,
92,jalan,yad348810,,
92,yahoo,00920299,,
93,rakuten,149369,,
93,jalan,yad306815,,
93,yahoo,00081091,,
94,rakuten,166949,,
94,jalan,yad389445,,
94,yahoo,00902390,,
95,rakuten,146927,,
95,jalan,yad390142,,
95,yahoo,00903501,,
96,rakuten,158644,,
96,jalan,yad369635,,
96,yahoo,00903521,,
97,rakuten,128440,,
97,jalan,yad304700,,
97,yahoo,00080624,,
98,rakuten,2906,,
98,jalan,yad380764,,
98,yahoo,00081156,,
99,rakuten,78126,,
99,jalan,yad345778,,
99,yahoo,,,
100,rakuten,181785,,
100,jalan,yad300680,,
100,yahoo,00002868,,
101,rakuten,168288,,
101,jalan,yad308239,,
101,yahoo,00904421,,
102,rakuten,178292,,
102,jalan,yad328599,,
102,yahoo,00082123,,
103,rakuten,160939,,
103,jalan,yad348492,,
103,yahoo,00081295,,
104,rakuten,148000,,
104,jalan,148000,,
104,yahoo,00002142,,
105,rakuten,67389,,
105,jalan,yad335064,,
105,yahoo,00080127,,
106,rakuten,19934,,
106,jalan,yad355232,,
106,yahoo,00080019,,
107,rakuten,149360,,
107,jalan,yad378968,,
107,yahoo,00081650,,
108,rakuten,73895,,
108,jalan,yad352536,,
108,yahoo,00081297,,
109,rakuten,76923,,
109,jalan,yad394225,,
109,yahoo,00080509,,
110,rakuten,192961,,
110,jalan,yad300310,,
110,yahoo,00003314,,
111,rakuten,108781,,
111,jalan,yad366068,,
111,yahoo,00050421,,
112,rakuten,147881,,
112,jalan,yad371142,,
112,yahoo,,,
113,rakuten,168709,,
113,jalan,yad364930,,
113,yahoo,00915665,,
114,rakuten,153394,,
114,jalan,,,
114,yahoo,00030596,,
115,rakuten,166371,,
115,jalan,yad396231,,
115,yahoo,00031037,,
116,rakuten,160954,,
116,jalan,yad341488,,
116,yahoo,00905490,,
117,rakuten,50896,,
117,jalan,yad310093,,
117,yahoo,00030133,,
118,rakuten,181512,,
118,jalan,yad389916,,
118,yahoo,00082213,,
119,rakuten,28029,,
119,jalan,yad338328,,
119,yahoo,00030414,,
120,rakuten,177948,,
120,jalan,yad362979,,
120,yahoo,00051057,,
121,rakuten,166300,,
121,jalan,yad394768,,
121,yahoo,00050667,,
122,rakuten,158675,,
122,jalan,,,
122,yahoo,00905148,,
123,rakuten,179593,,
123,jalan,yad365398,,
123,yahoo,00914161,,
124,rakuten,166935,,
124,jalan,yad367784,,
124,yahoo,00002565,,
125,rakuten,14058,,
125,jalan,yad316128,,
125,yahoo,00907531,,
126,rakuten,13554,,
126,jalan,yad314623,,
126,yahoo,00002311,,
127,rakuten,16123,,
127,jalan,yad381702,,
127,yahoo,00000550,,
128,rakuten,8525,,
128,jalan,yad374395,,
128,yahoo,00904123,,
129,rakuten,17845,,
129,jalan,yad395056,,
129,yahoo,00900737,,
130,rakuten,52641,,
130,jalan,yad306413,,
130,yahoo,00909969,,
131,rakuten,73870,,
131,jalan,yad362445,,
131,yahoo,00080218,,
132,rakuten,16354,,
132,jalan,yad339888,,
132,yahoo,00030796,,
133,rakuten,163087,,
133,jalan,yad304884,,
