id,name,lat,lng,address,tel
1,ロイヤルビューホテル美ら海,26.69525,127.87956,沖縄県国頭郡本部町石川938,0980-48-3631
2,ゆくりなリゾート沖縄 海風,26.69266,127.88201,沖縄県国頭郡本部町石川799-2,0980-48-3900
3,ホテルマハイナ ウェルネスリゾートオキナワ,26.68313,127.88208,沖縄県国頭郡本部町山川1456,0980-51-7700
4,コスタベージャ　コンドミニアムリゾート＜本部町＞,26.65789,127.88275,沖縄県国頭郡本部町大浜872-7,0980-47-7000
5,カリーコンド美ら海,26.68115,127.88724,沖縄県国頭郡本部町山川46-1,0980-48-1234
6,オリオンホテル　モトブリゾート＆スパ,26.69919,127.87951,沖縄県国頭郡本部町備瀬148-1,0980-51-7300
7,ウィステリア・コンドミニアム・リゾート,26.68642,127.87719,沖縄県国頭郡本部町山川973,0980-48-1230
8,美ら海ビレッジ,26.68137,127.88801,沖縄県国頭郡本部町豊原２５３－７,0980-48-3999
9,Ｆｕｋｕｇｉ　Ｔｅｒｒａｃｅ（フクギテラス）,26.70311,127.88063,沖縄県国頭郡本部町備瀬458,0980-48-2838
10,ニルヤカナヤＢＩＳＥ,26.70132,127.87966,沖縄県国頭郡本部町備瀬402,0980-48-2777
11,美ら海テラス,26.69171,127.88602,沖縄県国頭郡本部町山川４０３－１,090-4131-0077
13,ベッセルホテルカンパーナ沖縄,26.3159,127.7552,沖縄県中頭郡北谷町美浜9-22,098-926-1188
14,レクー沖縄北谷スパ＆リゾート,26.3168,127.7578,沖縄県中頭郡北谷町美浜34-2,098-936-2288
15,ザ・ビーチタワー沖縄,26.3134,127.7565,沖縄県中頭郡北谷町美浜8-6,098-921-7711
16,ヒルトン沖縄北谷リゾート,26.3194,127.7569,沖縄県中頭郡北谷町美浜40-1,098-901-1111
17,ラ・ジェント・ホテル沖縄北谷,26.3218,127.7589,沖縄県中頭郡北谷町美浜25-3,098-926-0210
18,ダブルツリーbyヒルトン沖縄北谷リゾート,26.3197,127.7549,沖縄県中頭郡北谷町美浜43,098-901-4600
19,コンドミニアムホテル モンパ,26.3148,127.7571,沖縄県中頭郡北谷町美浜8-12,098-936-0088
20,ココシャスモンパ,26.3211,127.7602,沖縄県中頭郡北谷町美浜25-2,098-923-0011
21,ＭＢ ＧＡＬＬＥＲＹ ＣＨＡＴＡＮ ｂｙ ＴＨＥ ＴＥＲＲＡＣＥ ＨＯＴＥＬＳ,26.3213,127.7582,沖縄県中頭郡北谷町美浜38-1,098-926-0088
22,Ｔｈｅ Ｆｉｒｓｔ ｉｎ Ａｍｅｒｉｃａｎ Ｖｉｌｌａｇｅ,26.3181,127.7592,沖縄県中頭郡北谷町美浜15-31,098-926-3636
24,ダブルツリーbyヒルトン那覇首里城,26.225506,127.720842,沖縄県那覇市首里山川町1-132-1,098-886-5454
