宿名,楽天ID,じゃらんID,YahooID,緯度,経度,住所,電話番号
ダイワロイネットホテル神戸三宮　ＰＲＥＭＩＥＲ,183491,,,34.690223,135.1928878,兵庫県神戸市中央区三宮町1丁目2番2号,078-894-3420
神戸ルミナスホテル三宮,166545,,,34.6894886,135.1940503,兵庫県神戸市中央区江戸町92,078-331-7701
ＫＯＫＯ　ＨＯＴＥＬ　神戸三宮,184123,,,34.6893219,135.192894,兵庫県神戸市中央区浪花町63,078-391-8182
レムプラス神戸三宮,181517,,,34.6938281,135.1934835,兵庫県神戸市中央区加納町4丁目2番1号,078-571-0606
ＣＡＮＤＥＯ　ＨＯＴＥＬＳ（カンデオホテルズ）神戸トアロード,165796,,,34.69053267,135.1900299,兵庫県神戸市中央区三宮町3-8-8,078-958-6755
神戸レディススパ,176586,,,34.6928414,135.1903272,兵庫県神戸市中央区山手通2-2-10　神戸サウナビル3Ｆ,078-322-1000
神戸サウナ＆スパ（ホテルカプセルイン神戸）,20516,,,34.69287312,135.1903033,兵庫県神戸市中央区下山手通2-2-10,078-322-2255
ホテルヴィアマーレ神戸,11327,,,34.68829593,135.1931171,兵庫県神戸市中央区京町67,078-321-0067
ザ　ロイヤルパーク　キャンバス　神戸三宮,181393,,,34.69288811,135.1899271,兵庫県神戸市中央区下山手通2丁目3番１号,078-391-1110
ワシントンＲ＆Ｂホテル神戸元町,18169,,,34.68950128,135.190009,兵庫県神戸市中央区三宮町3-3-1,078-334-6767
アパホテル〈神戸三宮駅前〉（全室禁煙）,178361,,,34.6938442,135.1904665,兵庫県神戸市中央区下山手通2-11-26,0570-069-211
ｔｈｅ　ｂ　神戸（ザビー　こうべ）,52830,,,34.69342305,135.1899116,兵庫県神戸市中央区下山手通2-11-5,078-333-4880
ＴＨＥ　ＯＲＩＥＮＴ（旧：ＯＲＩＥＮＴＡＬ　ＨＯＴＥＬ（オリエンタルホテル））,104691,,,34.68781265,135.192881,兵庫県神戸市中央区京町25,078-326-1511
ホテルモントレ神戸,178589,,,34.69379898,135.1899547,兵庫県神戸市中央区下山手通2-11-13,078-392-7111
東横ＩＮＮ神戸三宮駅市役所前,178915,,,34.68990014,135.1974007,兵庫県神戸市中央区八幡通4-1-3,078-222-1045
東横ＩＮＮ神戸三宮駅前,193553,,,34.6951991,135.1940584,兵庫県神戸市中央区布引町4-3-8,078-272-2845
神戸プラザホテル,182147,,,34.6894807,135.1885349,兵庫県神戸市中央区元町通1-13-12　,078-332-1141
ホテル　モンテ　エルマーナ神戸　アマリー（ホテルモントレグループ）,153339,,,34.6945018,135.1897283,兵庫県神戸市中央区中山手通2-2-28,078-393-7111
神戸元町東急ＲＥＩホテル,76924,,,34.68820697,135.1894369,兵庫県神戸市中央区栄町通1-2-35 ,078-327-0109
神戸三宮東急ＲＥＩホテル,528,,,34.69476514,135.1967101,兵庫県神戸市中央区雲井通6-1-5,078-291-0109
ホテルＳＵＩ神戸三宮ｂｙＡＢＥＳＴ　なごみの湯,182191,,,34.6955321,135.1909948,兵庫県神戸市中央区中山手通2-1-20,078-325-5151
ＢＲＥＮＺＡ　ＨＯＴＥＬ,166541,,,34.69457951,135.1971627,兵庫県神戸市中央区雲井通6-1-1,078-222-0707
アパホテル〈神戸三宮〉,39415,,,34.69362906,135.1980956,兵庫県神戸市中央区御幸通5-2-14,0570-067-711
ダイワロイネットホテル神戸三宮,52991,,,34.69303163,135.1985914,兵庫県神戸市中央区御幸通5-1-6,078-291-4055
ロータリーマンション中山手／民泊,175592,,,34.6947661,135.188919,兵庫県神戸市中央区中山手通2-3-19 ロータリーマンション中山手202号,080-7004-2470
旅の間　三宮／民泊,176169,,,34.6947661,135.188919,兵庫県神戸市中央区中山手通2－3－19　ロータリーマンション中山手,050-5444-6620
ロータリーマンション中山手６０３号室／民泊,176170,,,34.6947661,135.188919,兵庫県神戸市中央区中山手通2－3－19　ロータリーマンション中山手,078-335-1790
ゲストハウス・神戸なでしこ屋,164855,,,34.6878748,135.1887591,兵庫県神戸市中央区栄町通1-2-21,078-599-7305
北上ホテル,6120,,,34.69636445,135.1928668,兵庫県神戸市中央区加納町4-8-19,078-321-1000
相鉄フレッサイン　神戸三宮,172261,,,34.69587376,135.1967687,兵庫県神戸市中央区旭通5-2-3,078-570-2031
ホテルサンルートソプラ神戸,7660,,,34.69082635,135.1998247,兵庫県神戸市中央区磯辺通１丁目１－２２,078-222-7500
ホテル　トランス【大人専用１８禁・ハピホテ提携】,163348,,,34.6960128,135.1893672,兵庫県神戸市中央区中山手通2-19-1,078-221-7851
天然温泉　浪漫湯　ドーミーイン神戸元町（ドーミーイン・野乃グループ）,179274,,,34.6876046,135.1878452,兵庫県神戸市中央区栄町通2-5-1,078-393-5489
コンフォートホテルＥＲＡ神戸三宮,167683,,,34.69557908,135.1982678,兵庫県神戸市中央区雲井通4-2-10,078-271-3611
グリーンリッチホテル神戸三宮　人工温泉・二股湯の華,179803,,,34.69380065,135.199918,兵庫県神戸市中央区御幸通4丁目1番22号,078-241-0022
カプセルホテル神戸三宮,70891,,,34.69745045,135.1932057,兵庫県神戸市中央区加納町3-4-15,078-325-8833
住友不動産ホテル　ヴィラフォンテーヌ神戸三宮,141282,,,34.69626909,135.1975515,兵庫県神戸市中央区旭通4-1-4,078-224-5500
サンサイドホテル神戸三宮,3117,,,34.69539525,135.1987164,兵庫県神戸市中央区雲井通4-1-3,078-232-3331
スマイルホテル神戸元町,28742,,,34.68800693,135.1866927,兵庫県神戸市中央区元町通2-5-8,078-334-1515
Ｍｉｎａｔｏ　Ｈｕｔｔｅ,158892,,,34.69763403,135.1946306,兵庫県神戸市中央区二宮町4-6-3,078-219-3302
神戸北の坂ホテル,37892,,,34.69819202,135.1926835,兵庫県神戸市中央区加納町3丁目12-8,078-231-4188
２ｎｏ　ＨＯＭＥ＆ＰＡＲＫ,172941,,,34.6976135,135.1966648,兵庫県神戸市中央区琴ノ緒町2-4-5,080-9820-7651
ホテル　リベラル【大人専用１８禁・ハピホテ提携】,163349,,,34.69796158,135.1904827,兵庫県神戸市中央区山本通2-2-8,078-231-0881
神戸プラザホテルウエスト,178574,,,34.687622,135.1857194,兵庫県神戸市中央区元町通3-4-7,078-391-2214
