宿名,楽天ID,じゃらんID,YahooID,緯度,経度,住所,電話番号
横浜ベイシェラトンホテル＆タワーズ,1598,,,35.46684003,139.6201536,神奈川県横浜市西区北幸1-3-23,045-411-1111
スカイスパＹＯＫＯＨＡＭＡ,28604,,,35.46455429,139.6246366,神奈川県横浜市西区高島2-19-12 (スカイビル14F）,045-461-1126
京急ＥＸイン横浜駅東口（きた東口）（２０２６年２月２７日リニューアルオープン）,108936,,,35.46777893,139.6246004,神奈川県横浜市神奈川区金港町5-7,045-441-3910
リッチモンドホテル横浜駅前,165714,,,35.4685104,139.6231064,神奈川県横浜市神奈川区鶴屋町2-13-7,045-311-0155
相鉄フレッサイン　横浜駅東口,180143,,,35.4678974,139.6247683,神奈川県横浜市神奈川区金港町5-10,045-285-2031
相鉄ホテルズ　ザ・スプラジール　横浜,189109,,,35.46878632,139.6236798,神奈川県横浜市神奈川区鶴屋町1丁目41番地　THE YOKOHAMA FRONT　4F,045-577-2626
ＪＲ東日本ホテルメッツ横浜,178650,,,35.4687306,139.6245039,神奈川県横浜市神奈川区鶴屋町1丁目66番9,045-317-0011
ホテル横浜キャメロットジャパン,1262,,,35.46799264,139.6188509,神奈川県横浜市西区北幸1-11-3,045-312-2111
カプセルプラス横浜　サウナ＆カプセル,160802,,,35.4663773,139.6177487,神奈川県横浜市西区北幸2-1-5,050-1807-3375
ホテル・ザ・ノット　ヨコハマ,193,,,35.46492351,139.6174372,神奈川県横浜市西区南幸2-16-28,045-311-1311
ＨＯＴＥＬ　ＡＱＵＡ,137446,,,35.46638167,139.6171566,神奈川県横浜市西区北幸2-3-3,045-290-9197
東横ＩＮＮ横浜駅西口,188198,,,35.4627659,139.618204,神奈川県横浜市西区南幸2-2-9,045-290-1045
ＳＵハウス横浜３０５／民泊,184965,,,35.470446,139.6220593,神奈川県横浜市神奈川区台町10-27　コートハイム横浜　305号室　ＳＵ　Ｈｏｕｓｅ　Ｙｏｋｏｈａｍａ　305,090-9396-5866
横浜駅徒歩１０分のアクセス抜群なマンション／民泊,194030,,,35.4704534,139.622063,神奈川県横浜市神奈川区台町10-27　コートハイム横浜212,080-3389-3099
コートハイム横浜／民泊,174539,,,35.4704533,139.6220536,神奈川県横浜市神奈川区台町10-27,070-4348-8322
ホテルプラム（ＨＯＴＥＬ　ＰＬＵＭＭ）横浜,1428,,,35.46649552,139.6160706,神奈川県横浜市西区北幸2-9-1,045-314-3111
フォーポイント　フレックス　ｂｙ　シェラトン　横浜駅西,166999,,,35.4638193,139.6164322,神奈川県横浜市西区南幸2-17-6,045-321-1070
ヒルトン横浜,187474,,,35.46433011,139.6294196,神奈川県横浜市西区みなとみらい6-2-13,045-641-8100
ホテルリブマックス横浜駅西口,172010,,,35.46572838,139.614851,神奈川県横浜市西区北幸2-10-32,045-316-4500
京急ＥＸホテルみなとみらい横浜（横浜シンフォステージ内）,189139,,,35.46108071,139.6270793,神奈川県横浜市西区みなとみらい5-1-2　横浜シンフォステージ ウエストタワー 26階,045-228-7512
横浜東急ＲＥＩホテル,178443,,,35.45983021,139.6259038,神奈川県横浜市西区みなとみらい4-3-6,045-663-0109
横浜駅から徒歩１１分の静かな一戸建て／民泊,168981,,,35.4710396,139.6302165,神奈川県横浜市神奈川区青木町7－15,080-3270-8416
ヒルトン・ガーデン・イン横浜みなとみらい,198625,,,35.4630354,139.6325679,神奈川県横浜市西区みなとみらい6-3-4,045-415-0500
ウェスティンホテル横浜,183942,,,35.4576157,139.6270392,神奈川県横浜市西区みなとみらい4-2-8,045-577-0818
ザ・カハラ・ホテル＆リゾート　横浜,187395,,,35.462537,139.6334339,神奈川県横浜市西区みなとみらい1-1-3,045-522-0008
三井ガーデンホテル横浜みなとみらいプレミア,184792,,,35.4570712,139.6289589,神奈川県横浜市西区みなとみらい3-3-3,045-227-1311
Ｒ－ｈｏｕｓｅ　２ｎｄ／民泊,186431,,,35.4710931,139.6349978,神奈川県横浜市神奈川区神奈川1-8-5　Ｒ-ｈｏｕｓｅ　2ｎｄ,070-4474-0102
トラストメゾン桜木町２０１号／民泊,170112,,,35.4528509,139.6224876,神奈川県横浜市西区伊勢町2-87　Ｔｒｕｓｔ　Ｍａｉｓｏｎ　Ｓａｋｕｒａｇｉｃｈｏ,080-4086-2001
飛鳥ＩＩ,136103,,,35.45461948,139.6315281,神奈川県横浜市西区みなとみらい2-2-1　横浜ランドマークタワー（郵船クルーズ本社）,045-640-5301
横浜ベイホテル東急,2003,,,35.45701099,139.6355388,神奈川県横浜市西区みなとみらい2-3-7,045-682-2222
ヨコハマ　グランド　インターコンチネンタル　ホテル　ｂｙ　ＩＨＧ,5731,,,35.45788315,139.6370886,神奈川県横浜市西区みなとみらい1-1-1,045-223-2300
ニューオータニイン横浜プレミアム,104678,,,35.45250302,139.6303894,神奈川県横浜市中区桜木町1-1-7,045-210-0707
絹の湯　ホテルテラス横浜桜木町（ＢＢＨホテルグループ）,106151,,,35.45110305,139.6283191,神奈川県横浜市中区花咲町3-95,050-1807-3370
横浜みなとみらい　万葉倶楽部,50200,,,35.45596395,139.638233,神奈川県横浜市中区新港2-7-1,0570-07-4126
フレックステイイン桜木町,31476,,,35.44968384,139.6283814,神奈川県横浜市中区花咲町2-72-16,045-262-5388
キーサイド桜木町４０１／民泊,190749,,,35.4497061,139.6287771,神奈川県横浜市中区花咲町2-71　キーサイド桜木町401,050-1721-4419
キーサイド桜木町２０１／民泊,190751,,,35.4497061,139.6287771,神奈川県横浜市中区花咲町2-71　キーサイド桜木町201,050-1721-4419
キーサイド桜木町３０１／民泊,194438,,,35.44970546,139.6287969,神奈川県横浜市中区花咲町2-71　キーサイド桜木町,050-1721-4419
横浜桜木町ワシントンホテル,5242,,,35.45078383,139.6326143,神奈川県横浜市中区桜木町1-101-1,045-683-3111
ゲストハウスＦＵＴＡＲＥＮＯ－横浜野毛みなとみらいの宿－,162892,,,35.4485572,139.6271622,神奈川県横浜市中区野毛町4-173-5,045-308-8577
ＪＲ東日本ホテルメッツ　プレミア　横浜桜木町,179286,,,35.44981833,139.6316485,神奈川県横浜市中区桜木町1-1-93,045-228-0011
横浜マンダリンホテル,239,,,35.44795344,139.6269315,神奈川県横浜市中区野毛4-170 ,045-243-3131
リゾートカプセル桜木町（ＢＢＨホテルグループ）,53080,,,35.44897843,139.6309617,神奈川県横浜市中区花咲町1-22-2ブリーズベイホテルB１F,045-253-5553
ブリーズベイホテル・リゾート＆スパ（ＢＢＨホテルグループ）,392,,,35.44897843,139.6309895,神奈川県横浜市中区花咲町1-22-2,045-253-5555
ホテルリソル横浜桜木町,167875,,,35.44963248,139.6342433,神奈川県横浜市中区太田町6丁目78,045-662-9269
インターコンチネンタル横浜Ｐｉｅｒ　８　ｂｙ　ＩＨＧ,177505,,,35.45617684,139.6422596,神奈川県横浜市中区新港2-14-1,045-307-1111
ナビオス横浜,14800,,,35.4526338,139.6392636,神奈川県横浜市中区新港2-1-1,045-633-6000
アパホテル＆リゾート〈横浜ベイタワー〉,171996,,,35.45171232,139.6384146,神奈川県横浜市中区海岸通5-25-3,0570-055-111
東横ＩＮＮ横浜桜木町,108344,,,35.44958404,139.6354391,神奈川県横浜市中区本町6-55,045-671-1045
横浜桜木町タウンホテル,161057,,,35.4478073,139.6316314,神奈川県横浜市中区花咲町1-5-1,045-309-7130
ＮＵＤＡ　ｂｙ　Ｈ－ＳＥＶＥＮ【大人専用１８禁・ハピホテ提携】,163337,,,35.4470657,139.6293094,神奈川県横浜市中区宮川町2-23-2,045-241-1413
（全室禁煙）レンブラントスタイル横浜桜木町,193485,,,35.4485113,139.6336132,神奈川県横浜市中区住吉町6丁目78番地1,045-680-0238
Ｆａｉｒｙ　Ｗｉｎｋ【大人専用１８禁・ハピホテ提携】,163239,,,35.4471268,139.629776,神奈川県横浜市中区野毛町1-58,045-243-2182
マルタニホテル,16513,,,35.44883133,139.6346364,神奈川県横浜市中区相生町6-99,045-681-2748
相鉄フレッサイン　横浜桜木町,141111,,,35.44957588,139.6362821,神奈川県横浜市中区本町5-49,045-640-0203
ファーイーストビレッジホテル横浜,182565,,,35.4479051,139.6328924,神奈川県横浜市中区尾上町6-90-1,045-232-4476
カプセルＩＮＮ都,111221,,,35.44693699,139.6306979,神奈川県横浜市中区野毛町1-22,045-241-0133
横浜平和プラザホテル,11195,,,35.44869248,139.6357835,神奈川県横浜市中区太田町5-65,045-212-2333
ホテルルートイン横浜馬車道,68268,,,35.44874528,139.6369112,神奈川県横浜市中区弁天通4-53-1,050-1726-2472
ＨＯＴＥＬ　ＳＴＡＹ　ＹＯＫＯＨＡＭＡ,167863,,,35.4457131,139.6295177,神奈川県横浜市中区福富町西通46-2,045-261-2632
リッチモンドホテル横浜馬車道,17680,,,35.44733429,139.6354864,神奈川県横浜市中区住吉町5-59,045-228-6655
プロスタイル旅館　横浜馬車道,167945,,,35.44682249,139.6349621,神奈川県横浜市中区常盤町5-64,045-662-2222
ホテルマイステイズ横浜関内,153564,,,35.4466713,139.6346785,神奈川県横浜市中区尾上町5-67-1,045-227-6701
ホテル　セントラル横浜,180245,,,35.4444576,139.6303797,神奈川県横浜市中区福富町仲通41,050-1721-4419
コンフォートホテル横浜関内,38530,,,35.44676495,139.6368724,神奈川県横浜市中区住吉町3-33,045-650-4711
アパホテル〈横浜関内〉,32077,,,35.44661774,139.6367613,神奈川県横浜市中区住吉町3-37-2,0570-045-650
横浜タウンホテル,67251,,,35.44439007,139.6315202,神奈川県横浜市中区福富町東通38-7,045-260-6822
ホテル　パセラの森　横浜関内,149320,,,35.44408433,139.6307409,神奈川県横浜市中区福富町東通40-4,0120-194-458
カプセルホテルパレス,145407,,,35.44387291,139.6310949,神奈川県横浜市中区福富町東通6-5,045-252-1126
ホテル　ゴマックス【大人専用１８禁・ハピホテ提携】,163287,,,35.4428635,139.6278652,神奈川県横浜市中区末吉町1-7,045-251-8680
ホテルグランドサン横浜,5198,,,35.44306239,139.6295871,神奈川県横浜市中区長者町8-122,045-241-7551
グランカスタマ伊勢佐木町店,153313,,,35.4430384,139.6299734,神奈川県横浜市中区長者町7-115,045-315-7272
ホテルアルファーワン横浜関内,129909,,,35.44374019,139.6330562,神奈川県横浜市中区羽衣町2-8-5,045-231-8686
ダイワロイネットホテル横浜関内,80472,,,35.44336246,139.6332645,神奈川県横浜市中区羽衣町2-7-4,045-252-1475
東横ＩＮＮ横浜関内,108359,,,35.44640397,139.6402416,神奈川県横浜市中区太田町1-5-1,045-662-1045
