宿名,楽天ID,じゃらんID,YahooID,緯度,経度,住所,電話番号
ホテル法華クラブ京都,122,,,34.98737905,135.7587566,京都府京都市下京区京都駅烏丸中央口正面,075-361-1251
ホテルグランヴィア京都,1487,,,34.98704453,135.7600812,京都府京都市下京区烏丸通塩小路下ル　ＪＲ京都駅中央口,075-344-4433
京都新阪急ホテル,1658,,,34.98729172,135.7578073,京都府京都市下京区塩小路通新町東入ル東塩小路町579,075-343-5300
京都駅　元祖駅前　松本旅館,136089,,,34.98743893,135.7581267,京都府京都市下京区塩小路通烏丸西入東塩小路町579,075-371-2622
京都タワーホテル,1551,,,34.98755006,135.7592793,京都府京都市下京区烏丸通七条下る東塩小路町721-1,075-361-7261
都シティ　近鉄京都駅（旧：ホテル近鉄京都駅）,130693,,,34.98466145,135.757063,京都府京都市下京区東塩小路釜殿町1-9,075-692-2111
京都駅前　さと茂旅館,8258,,,34.98763336,135.7581239,京都府京都市下京区木津屋橋通室町西入東塩小路町579,075-371-6245
京都センチュリーホテル,1369,,,34.98614193,135.7612264,京都府京都市下京区東塩小路町680,075-351-0111
三交イン京都八条口〈雅〉〜四季乃湯〜,176797,,,34.98375637,135.7588756,京都府京都市南区東九条上殿田町48番地1,075-662-0351
イビススタイルズ京都ステーション,79377,,,34.98368659,135.7584351,京都府京都市南区東九条上殿田町47,075-693-8444
ホテル京阪　京都駅南,177047,,,34.9837342,135.7577094,京都府京都市南区東九条室町55番地,075-692-0321
ＨＯＴＥＬ　Ｔｏｍｉｙａ　ｗｉｔｈ　Ｍ＇ｓ,191865,,,34.9874221,135.7607062,京都府京都市下京区東塩小路町545,075-320-5826
ホテル飯田,107859,,,34.98761119,135.760507,京都府京都市下京区不明門通塩小路上る東塩小路町717,075-341-3256
三井ガーデンホテル京都駅前,172030,,,34.98690209,135.7612495,京都府京都市下京区東塩小路町848,075-353-3135
ザ・サウザンド京都,168608,,,34.9861582,135.7616079,京都府京都市下京区東塩小路町570,075-354-1000
ヴィアインプライム京都駅八条口（ＪＲ西日本グループ）,172160,,,34.98318851,135.7585201,京都府京都市南区室町通針小路東入ル東九条上殿田町44-1,075-662-5489
ホテル佐野家,8099,,,34.98774174,135.760982,京都府京都市下京区東洞院通七条下ル2東塩小路町539,075-371-2185
ホテルヴィスキオ京都　ｂｙ　ＧＲＡＮＶＩＡ,168654,,,34.9831556,135.7592414,京都府京都市南区東九条上殿田町44-1,075-280-1111
ロイヤルツインホテル京都八条口,177759,,,34.9831936,135.7580578,京都府京都市南区東九条室町46-2,075-681-5678
ＳＡＫＵＲＡ　ＴＥＲＲＡＣＥ　ＴＨＥ　ＧＡＬＬＥＲＹ(サクラテラス　ザ　ギャラリー）,147819,,,34.9830806,135.7583054,京都府京都市南区東九条上殿田町39,075-672-0002
京お宿　こことまろ,153170,,,34.9830334,135.7588498,京都府京都市南区東九条上殿田町40-23,075-525-7575
