宿名,楽天ID,じゃらんID,YahooID,緯度,経度,住所,電話番号
別府駅西口前　ホテル　フジヨシ,778,,,33.28001365,131.4999822,大分県別府市野口元町1-3,0977-23-3384
別府駅前　ホテルシーウェーブ別府,9401,,,33.27908044,131.5008821,大分県別府市駅前町12-8,0977-27-1311
ビジネスホテル　スター,5730,,,33.27929984,131.49946,大分県別府市田の湯町10-29,0977-25-1188
Ａｌｌｕｒｅ　ａｘｅｌ　＾,173583,,,33.2798588,131.4991951,大分県別府市田の湯町12-25,011-827-8018
別府駅前　ホテルはやし,9242,,,33.27959706,131.5015376,大分県別府市駅前本町3-5,0977-24-2211
別府温泉　別府ステーションホテル,9243,,,33.27913878,131.5013959,大分県別府市駅前町13-4,0977-24-5252
別府八湯　御宿　野乃別府（ドーミーイン・御宿野乃　ホテルズグループ）,188238,,,33.2795021,131.5015672,大分県別府市駅前本町2-6,0977-21-5489
アパホテル〈別府駅前〉（全室禁煙）,183506,,,33.27892023,131.4993618,大分県別府市田の湯町10番6号,0977-76-5700
天然温泉　鉄輪の湯　スーパーホテル別府駅前,180258,,,33.2790994,131.5016308,大分県別府市駅前町13-8,0977-73-9000
ＨＡＣＤＡＩ　＾,173904,,,33.28100285,131.5003595,大分県別府市野口元町2-4,011-827-8018
別府温泉　旅館　千成,28789,,,33.28110241,131.4996766,大分県別府市野口元町2-18,0977-21-1550
別府第一ホテル,9069,,,33.28115798,131.5007821,大分県別府市野口元町2-40,0977-24-6311
ＢＥＰＰＵ　ＲＯＪＩＵＲＡ　ＳＴＡＹ＆ＳＡＵＮＡ,153093,,,33.27874739,131.5017206,大分県別府市駅前町9-14,0977-25-0100
国際民宿　こかげ,129605,,,33.27883883,131.502182,大分県別府市駅前町8-9,0977-23-1753
Ｔａｂｉｓｔ　アネックス松美,28060,,,33.27809163,131.499149,大分県別府市田の湯町7-28,0977-25-5822
別府温泉　自家源泉かけ流しの宿　新ほり井,84758,,,33.27844991,131.4985046,大分県別府市田の湯町8-27,0977-25-6530
アマネク別府ゆらり,182800,,,33.2803116,131.5026268,大分県別府市駅前本町6-35,0977-76-5566
ホテルアーサー　ＫＩＴＡＨＡＭＡ　ＢＡＳＥ,674,,,33.27884717,131.5025209,大分県別府市北浜1-2-5　　,0977-25-2611
アマネクイン別府,182799,,,33.2803991,131.5027244,大分県別府市駅前本町6-28,0977-76-5565
ＨＯＴＥＬ　ＡＺ　大分別府駅前店,167883,,,33.27756731,131.4994955,大分県別府市中央町6-2,0977-27-3333
グランドベース別府駅,178620,,,33.2820035,131.5012443,大分県別府市野口元町8-25,092-292-2431
Ｎ．Ｃａｆｅ,178887,,,33.2784161,131.5028221,大分県別府市北浜1-1-10　ＫＴ北浜ビル201,070-2388-5000
グランドベース別府駅前,176593,,,33.2781772,131.4978614,大分県別府市田の湯町8-7-1,092-292-2431
グランドベース　イオラニ,177737,,,33.2822951,131.4996192,大分県別府市野口元町4-8,092-292-2431
【Ｔｒｉａｎｇｌｅ】別府駅近くの貸切戸建！少人数グループでの観光におすすめ！／民泊,185058,,,33.2824645,131.4998731,大分県別府市野口元町4-1　Ｔｒｉａｎｇｌｅ,011-374-4638
ＢＥＰＰＵ　Ｓａｋｅ＆Ｓｔａｙ　ＹＯＴＴＥ／民泊,186170,,,33.2778156,131.5027795,大分県別府市北浜1-1-1号　ＹＯＴＴＥ,011-827-8018
Ａｂｕｒａｙａ　Ｂｅｔｔｅｉ　＾,170698,,,33.2825506,131.5002152,大分県別府市野口元町6-3　油屋別邸,011-827-8018
ＢＥＰＰＵ　Ｒｉｓａｎａ,196492,,,33.277481,131.4981433,大分県別府市田の湯町2-23,050-1720-7129
Ｊ－ＳＴＡＹ　別府　インディゴ,181838,,,33.28256181,131.4999301,大分県別府市野口元町4-14,050-1720-7129
ＢＥＰＰＵ　和　ーｎａｇｏｍｉー,192750,,,33.2825085,131.5013085,大分県別府市野口元町9-6,050-1720-7129
Ｃｏｍｆｏｒｔ　ＣＵＢＥ　ＰＨＯＥＮＩＸ　Ｂｅｐｐｕ,167652,,,33.27810051,131.5032767,大分県別府市北浜1-1-20,080-4690-5110
ゲストハウス　団欒,142543,,,33.281803,131.502848,大分県別府市駅前本町10-25,0977-75-8100
Ｔａｂｉｓｔ　アークイン松美,31521,,,33.2790713,131.5038259,大分県別府市北浜1-3-11,0977-24-0020
ＢＡＴＨ　Ｂ　＾,173740,,,33.28276827,131.4998471,大分県別府市野口元町6-3,011-827-8018
もみじの宿別府,197324,,,33.2772316,131.4979815,大分県別府市田の湯町3-2,080-9998-0460
ＢＡＴＨ　Ａ　＾,173891,,,33.28287324,131.4998979,大分県別府市野口元町6-3,011-827-8018
カームハウス別府元町,171995,,,33.2777603,131.5035414,大分県別府市元町4-2,080-3228-4946
亀の井ホテル　別府,4807,,,33.27639184,131.4996462,大分県別府市中央町5-17,0977-22-3301
Ｔｒｉａｎｇｌｅ　２ｎｄ,198300,,,33.27723435,131.503339,大分県別府市元町2-18,011-374-4638
Ｃｌｏｖｅｒ　ｒｏｏｍｓ　４０６　＾,173581,,,33.27987506,131.5045912,大分県別府市北浜2-7-31万代屋ビル,011-827-8018
別府温泉　くつろぎの温泉宿　山田別荘,80583,,,33.2820135,131.5036401,大分県別府市北浜3-2-18,0977-24-2121
Ｌｉｎｄｅｎ　Ｈａｕｓ　ＢＥＰＰＵ　＾,174735,,,33.27748104,131.5038152,大分県別府市元町5-7,011-827-8018
ホテル二灯,198051,,,33.2787873,131.5045699,大分県別府市北浜1-10-1,050-1722-2149
Ｌｉｖｉｎｇ　ＣＵＢＥ　Ｂｅｐｐｕ　Ｓｔａｔｉｏｎ　＾,173818,,,33.2834551,131.5006543,大分県別府市野口元町1076-5,011-827-8018
Ｌｉｖｉｎｇ　ＣＵＢＥ　Ｂｅｐｐｕ　Ｓｔａｔｉｏｎ　Ａｎｎｅｘ　＾,173892,,,33.2834551,131.5006543,大分県別府市野口元町1753-1 ,011-827-8018
別府の湯　空　＾,168880,,,33.2818839,131.5039759,大分県別府市北浜3－2－17　ＢＥＰＰＵ　ＮＯ　ＹＵ　ＳＯＲＡ,080-8954-8705
別府の湯　月　＾,168879,,,33.28189636,131.5039747,大分県別府市北浜3－2－16　ＢＥＰＰＵ　ＮＯ　ＹＵ　ＴＳＵＫＩ,080-8954-8705
温泉宿はまゆう凪,68689,,,33.28239401,131.5035457,大分県別府市北浜3-3-10,0977-23-3939
別府の湯　紗羅　＾,168878,,,33.28197658,131.5039759,大分県別府市北浜3－2－15　ＢＥＰＰＵ　ＮＯ　ＹＵ　ＳＡＲＡ,080-8954-8705
別府温泉　カプセルホテル　グロリア,135517,,,33.27665021,131.5031931,大分県別府市元町1-25,0977-27-1126
別府温泉　竹と椿のお宿　花べっぷ,30691,,,33.28027055,131.4956439,大分県別府市上田の湯町16-50,0977-22-0049
ウリハウス,177526,,,33.2790473,131.5052046,大分県別府市北浜1-9-12　横丁ビル201号、202号,080-9104-5529
ＢＥＰＰＵ　乃音,196285,,,33.2821622,131.5043517,大分県別府市北浜3-5-6,050-1720-7129
