,name,rakuten_id,jalan_id,yahoo_id,lat,lng,address,tel
1,ロイヤルビューホテル美ら海,15062,yad346870,00030772,26.695228,127.87919,沖縄県国頭郡本部町石川938,0980-48-3631
2,ゆくりなリゾート沖縄 海風,172796,yad344384,00907941,26.69219,127.882,沖縄県国頭郡本部町石川799-2,0980-48-3903
3,ホテルマハイナ ウェルネスリゾートオキナワ,14584,yad314427,00030565,26.682924,127.88251,沖縄県国頭郡本部町山川1456,0980-51-7700
4,コスタベージャ　コンドミニアムリゾート＜本部町＞,166326,yad307933,00050672,26.656757,127.88268,沖縄県国頭郡本部町大浜872-7,0980-47-2142
5,カリーコンド美ら海,177856,yad348214,00050889,26.681827,127.88746,沖縄県国頭郡本部町山川46-1,0980-48-2838
6,オリオンホテル　モトブリゾート＆スパ,145419,yad307948,00002000,26.69908,127.87936,沖縄県国頭郡本部町備瀬148-1,0980-51-7300
7,ウィステリア・コンドミニアム・リゾート,149384,yad336920,00030200,26.68616,127.87713,沖縄県国頭郡本部町山川973,0980-51-7722
8,美ら海ビレッジ,197326,yad338738,00904289,26.628858,127.88803,沖縄県国頭郡本部町崎本部34,0980-48-3999
9,Ｆｕｋｕｇｉ　Ｔｅｒｒａｃｅ（フクギテラス）,67833,yad396860,00050210,26.702916,127.88068,沖縄県国頭郡本部町備瀬458,0980-48-2911
10,ニルヤカナヤＢＩＳＥ,184542,yad300252,00913637,26.701252,127.87967,沖縄県国頭郡本部町備瀬402,0980-43-9143
11,美ら海テラス,192028,yad339796,00917251,26.682046,127.88201,沖縄県国頭郡本部町字山川403-1,098-911-5077
12,ベッセルホテルカンパーナ沖縄,135479,yad306902,00080893,26.315197,127.75424,沖縄県中頭郡北谷町字美浜9番地22（アメリカンビレッジ内）,098-926-1188
13,レクー沖縄北谷スパ＆リゾート,178706,yad390322,00002854,26.318007379858095,127.75511045622046,沖縄県中頭郡北谷町美浜34-2,098-936-2288
14,ザ・ビーチタワー沖縄,29412,yad346964,00002245,26.314439,127.75582,沖縄県中頭郡北谷町美浜8-6,098-921-7711
15,ヒルトン沖縄北谷リゾート,145475,yad308366,00002009,26.318444,127.75471,沖縄県中頭郡北谷町美浜40-1,098-901-1111
16,ラ・ジェント・ホテル沖縄北谷,166209,yad362292,00081514,26.321346,127.7551,沖縄県中頭郡北谷町美浜25‐3,098-926-0210
17,ダブルツリーbyヒルトン沖縄北谷リゾート,167040,yad360945,00002531,26.317908,127.75364,沖縄県中頭郡北谷町美浜43,098-901-4600
18,コンドミニアムホテル モンパ,147924,yad306315,00050073,26.314889,127.75581,沖縄県中頭郡北谷町美浜8-12,098-936-0088
19,ココシャスモンパ,167080,yad348236,00050665,26.32188,127.75597,沖縄県中頭郡北谷町美浜25-1,098-923-3388
20,ＭＢ ＧＡＬＬＥＲＹ ＣＨＡＴＡＮ ｂｙ ＴＨＥ ＴＥＲＲＡＣＥ ＨＯＴＥＬＳ,182456,yad353162,00002913,,,,
21,リーガロイヤルリゾート沖縄 北谷,197765,yad390908,00003398,26.316778,127.7576,沖縄県中頭郡北谷町美浜15-69,098-989-7077
22,ダブルツリーbyヒルトン那覇首里城,14113,yad340320,00001765,26.220629,127.71078,沖縄県那覇市首里山川町1-132-1,098-886-5454
24,ノボテル沖縄那覇,167519,yad377388,00002558,26.219193,127.70672,沖縄県那覇市松川40番地,098-887-1111
25,COMMUNITY＆SPA那覇セントラルホテル,196,yad353688,00002346,26.218334,127.68884,沖縄県那覇市牧志2-16-36,098-862-6070
31,Villa WHITE（ヴィラホワイト）,,-,00051693,26.64061769225571,127.86781983849917,沖縄県国頭郡本部町瀬底前原３１８２−３,
32,ヒルトン沖縄瀬底リゾート,179299,yad370007,00002795,26.649347,127.85852,沖縄県国頭郡本部町瀬底5750,0570-02-0701
33,瀬底山水,158893,-,00050098,26.64835,127.87314,沖縄県国頭郡本部町瀬底2471-26,080-3842-7748
34,美ら海ビレッジ 瀬底島店,141237,yad338738,00904289,26.687501525522194,127.88577602409072,沖縄県国頭郡本部町豊原２４１−１ 美ら海ビレッジ2号店,080-6489-6575
35,Ｖｉｌｌａ ｄｅ Ｏｃｅａｎ ｂｌｕｅ瀬底倶楽部,137980,-,00050199,26.646797,127.87218,沖縄県国頭郡本部町瀬底2471-10,090-5932-8250
36,ADAN RESORT Hanali village sesokojima,180678,yad302788,00051103,26.645791,127.86306,沖縄県国頭郡本部町瀬底198,0980-43-0073
37,LECEB SESOKO VILLA Hills suite,168497,,00050596,26.64074657784075,127.864438942202,沖縄県国頭郡本部町瀬底前久保原4747番地,0980-43-0343
38,スターライトテラス照家,107694,yad353548,00903096,26.705402,128.01975,沖縄県国頭郡今帰仁村古宇利1210,0980-56-4597
39,プールヴィラ古宇利島 by コルディオスマートリゾート,189256,yad351778,00003218,26.699422,128.01598,沖縄県国頭郡今帰仁村古宇利126-2,098-954-6496
40,One Suite THE GRAND（ワンスイート ザ・グランド）,183032,yad328409,00002924,26.706976,128.01667,沖縄県国頭郡今帰仁村古宇利2451,0980-51-5770
41,ResortVilla古宇利島 Aquablue,147428,yad314368,00904509,26.699499,128.01405,沖縄県国頭郡今帰仁村古宇利1484-4,5036901484
42,One Suite THE TERRACE(ワンスイート ザ・テラス),172742,yad338913,00050745,26.698797,128.0192,沖縄県国頭郡今帰仁村古宇利281,0980-51-5020
43,Lalamare 古宇利,178695,yad356540,00051060,26.6982,128.01466,沖縄県国頭郡今帰仁村古宇利55-1,0980-56-3232
44,ヴィラ恋の島 テラス,181704,yad337165,00911577,26.698686,128.01745,沖縄県国頭郡今帰仁村古宇利215-4,098-963-7007
45,YAWN YARD Kouri Island(sea),192611,yad355420,00051999,26.699822,128.01199,沖縄県国頭郡今帰仁村古宇利1837,0980-56-1128
46,Yuki Suite Kourijima,172758,yad384874,00051002,26.697325,128.01458,沖縄県国頭郡今帰仁村字古宇利33-1,0980-56-5675
47,オーシャンフロントKouriStay(古宇利ステイ),167492,-,00050614,26.69691021929315,128.01811241019993,沖縄県国頭郡今帰仁村古宇利２５１−２,050-1722-9161
48,黍【KIBI】ムカカ ヴィラ 古宇利島 (MUKAKA VILLA・SPA),153099,yad363114,00002292,26.712364363178256,128.01636581521333,沖縄県国頭郡今帰仁村古宇利２５９３−５,0980-52-8020
49,鸛巣 【KOUNOSU】ムカカヴィラ古宇利島 (MUKAKA VILLA・SPA),177513,yad320225,00050886,26.707241851161545,128.0147203948569,沖縄県国頭郡今帰仁村古宇利２１９６,0980-52-8020
50,Resort Villa KAPUKA 古宇利島,188469,yad378853,00051744,26.701063,128.02299,沖縄県国頭郡今帰仁村古宇利597（本館）古宇利353（別館）※地図のピンは本館を示しておりますので別館：LAULEAをご予約のお客様はご注意くださいませ。,0980-56-1317
51,ペンションパシフィカ古宇利,181071,yad354098,-,26.699736937976255,128.01875776417046,沖縄県国頭郡今帰仁村古宇利1005,090-2588-2992
52,たびの邸宅 沖縄今帰仁,167243,yad365372,00050510,26.702412,127.93465,沖縄県国頭郡今帰仁村今泊3543　,050-1808-3727
53,ILUVIO Resort Motobu,196386,yad370540,00052215,26.69314,127.918,沖縄県国頭郡本部町具志堅1993,0980-43-9474
54,ホテルゆがふいんおきなわ,16500,yad344156,00030566,26.593477,127.96521,沖縄県名護市字宮里453-1,0980-53-0031
56,沖縄空手ホテル アイオライト豊見城,192437,yad364368,00918679,26.186412,127.68197,沖縄県豊見城市字豊見城39-5,098-995-6190
57,グリーンリッチホテル沖縄名護,176957,yad345399,00081891,26.58675,127.98374,沖縄県名護市城2-646,0980-51-0111
59,白浜ホテル,147412,yad347690,00904473,26.593921,127.97116,沖縄県名護市宮里1-27-7,080-5169-3289
60,ホテルピースアイランド名護,179380,yad306503,00911038,26.58628,127.98406,沖縄県名護市城2-11-6,0980-43-0781
61,名護ビジネスホテル,52144,yad358568,-,26.589011,127.98549,沖縄県名護市大東1-9-6,0980-54-5557
62,Mr. Kinjo in TOMIGUSUKU,176920,yad330944,00914160,26.165745,127.66861,沖縄県豊見城市座安271-1,098-851-8772
63,ホテルさくらのファミリア名護,167318,yad337147,-,26.580267,127.98369,沖縄県名護市東江5-13-5,0980-53-7070
64,ホテル山田荘,43946,yad328453,00920097,26.589025,127.98585,沖縄県名護市大東1-9-6,0980-52-2272
65,ホテルルートイン名護,29705,yad317948,00080414,26.580345,127.9849,沖縄県名護市東江5-11-3,0980-54-8511
66,かりゆしコンドミニアムリゾート名護 シーサイドハウス,160738,yad317298,,26.57869,127.98367,沖縄県名護市東江5-19-15,098-967-7112
67,スーパーホテル沖縄・名護,69316,yad361520,00905972,26.604576,127.97424,沖縄県名護市宮里1018,0980-50-9000
69,Ao～碧～ホテル,189095,yad389277,00916996,26.605181,127.96712,沖縄県名護市宇茂佐1672,0980-43-9886
70,Lit Hotel NAKIJIN,41003,yad377228,00907218,26.689091,127.96411,沖縄県国頭郡今帰仁村平敷306,0980-56-3005
71,ツリーフルツリーハウスサステイナブルリゾート 沖縄 Treeful,197409,-,00051705,,,,
72,オクマ プライベートビーチ ＆ リゾート,17980,yad329205,00000603,26.735448,128.16004,沖縄県国頭郡国頭村字奥間913,0980-41-2222
73,ペンション与那覇岳,161143,yad380512,00912721,26.729799,128.19033,沖縄県国頭郡国頭村奥間2040-101,090-3794-5919
74,アダ・ガーデンホテル沖縄,108996,yad353552,00902752,26.751341,128.29897,沖縄県国頭郡国頭村安田1285-95,0980-41-7070
75,沖縄ヴィラ サンライズ慶佐次 海風,183693,yad379241,00913481,,,,
76,芭蕉,162863,yad384528,00911753,36.253301,136.37154,石川県加賀市山中温泉上野町ル-15-4,050-3615-3456
77,RYUKYU BREEZE,190775,yad361765,00051960,26.539785,128.09175,沖縄県名護市安部55-1　ＲＹＵＫＹＵ　ＢＲＥＥＺＥ壱Ｎｏ．1、弐Ｎｏ．2、参Ｎｏ．3、肆Ｎｏ．4,070-8354-8291
78,ハレクラニ沖縄,172611,yad312173,00002629,,,,
79,ホテルモントレ沖縄 スパ＆リゾート,141596,yad311816,00001902,26.454017,127.80557,沖縄県国頭郡恩納村字冨着1550-1,098-993-7111
80,カフー リゾート フチャク コンド・ホテル,78239,yad360623,00001519,26.453169,127.80675,沖縄県国頭郡恩納村冨着志利福地原246-1,098-964-7000
81,ルネッサンス リゾート オキナワ,54315,yad327873,00000828,26.420298,127.82005,沖縄県うるま市石川伊波501,098-965-1000
82,リザンシーパークホテル谷茶ベイ,52229,yad315138,00031065,26.463885,127.81813,沖縄県国頭郡恩納村谷茶1496,098-964-6611
83,AQUASENSE Hotel & Resort,183576,yad364693,00002955,26.457458,127.8115,沖縄県国頭郡恩納村字冨着黒崎原86-1,098-987-8031
84,ハイアットリージェンシー 瀬良垣アイランド 沖縄,166320,yad383182,00002526,26.512084,127.86875,沖縄県国頭郡恩納村瀬良垣1108,098-960-4321
85,BEB5沖縄瀬良垣 by 星野リゾート,184015,yad336580,00002989,26.503343,127.86226,沖縄県国頭郡恩納村瀬良垣1860-4,050-3134-8098
86,ホテルパームロイヤルリゾート国際通り,38282,yad351678,00081270,26.216551,127.68981,沖縄県那覇市牧志3-9-10,098-865-5551
87,ホテルJALシティ 那覇,50220,yad319590,00080129,26.215879,127.68605,沖縄県那覇市牧志1-3-70,098-866-2580
88,ホテル コレクティブ,172986,yad382520,00002682,26.215076,127.68542,沖縄県那覇市松尾2-5-7,098-860-8366
89,HOTEL NAHA CITY - kokusai street -,192084,yad348810,00920299,26.214512,127.68346,沖縄県那覇市松尾1-4-5,098-867-7200
90,ホテルグレイスリー那覇,149369,yad306815,00081091,26.214280160489313,127.68262875197914,沖縄県那覇市松尾１丁目３−６,098-867-6111
91,ワイズキャビン&ホテル 那覇国際通り,166949,yad389445,00902390,26.214562,127.68155,沖縄県那覇市久茂地3-9-18,098-869-5137
92,ホテルアベスト那覇国際通り,146927,yad390142,00903501,26.214023,127.68074,沖縄県那覇市久茂地3-1-10,098-943-5800
93,HOTEL THE CUBE 那覇国際通り,158644,yad369635,00903521,26.217229,127.69161,沖縄県那覇市牧志3-13-17,098-861-9900
94,ダイワロイネットホテル那覇国際通り,128440,yad304700,00080624,26.217862,127.6939,沖縄県那覇市安里2-1-1,098-868-9055
95,琉球オリオンホテル 那覇国際通り,2906,yad380764,00081156,26.218645,127.69377,沖縄県那覇市安里1-2-21,098-866-5533
96,ホテル オーシャン那覇国際通り,78126,yad345778,00081090,26.218542602255543,127.69494072499198,沖縄県那覇市安里２丁目４−８,098-863-2288
97,ヒューイットリゾート那覇,181785,yad300680,00002868,26.218245,127.69593,沖縄県那覇市安里2丁目5番16号,098-943-8325
98,Mr. Kinjo in Sakaemachi,168288,yad308239,00904421,26.21769,127.69712,沖縄県那覇市安里382,098-987-6671
99,"HOTEL STRATA NAHA ,ホテル ストレータ 那覇",178292,yad328599,00082123,26.219125026294254,127.68432822129527,沖縄県那覇市牧志１丁目１９−８,098-860-7400
100,JR九州ホテル ブラッサム那覇,160939,yad348492,00081295,26.217137,127.68775,沖縄県那覇市牧志2丁目16番１号,098-861-8700
101,"ハイアットリージェンシー那覇沖縄,Hyatt Regency Naha, Okinawa",148000,yad373185,00002142,26.214686059716776,127.68982535013066,沖縄県那覇市牧志３丁目６−２０,098-866-8888
102,沖縄ナハナ・ホテル＆スパ,67389,yad335064,00080127,26.21444,127.67653,沖縄県那覇市久米2-1-5,098-866-0787
103,リッチモンドホテル 那覇久茂地,19934,yad355232,00080019,26.220387,127.68287,沖縄県那覇市久茂地2-23-12,098-869-0077
104,アルモントホテル那覇県庁前,149360,yad378968,00081650,26.213426,127.67816,沖縄県那覇市久茂地1-3-5,098-866-3811
105,ホテルアートステイ那覇国際通り,73895,yad352536,00081297,26.216845,127.68748,沖縄県那覇市牧志1-3-43,050-1792-5506
106,那覇東急REIホテル,76923,yad394225,00080509,26.209779,127.67734,沖縄県那覇市旭町116-37（「カフーナ旭橋」内、自治会館隣）,098-869-0109
107,BATON SUITE 沖縄古宇利島,192961,yad300310,00003314,26.699161,128.02053,沖縄県国頭郡今帰仁村古宇利480-2,0980-56-5500
108,hotel cava（ホテルカヴァ）,108781,yad366068,00050421,26.711987,128.01583,沖縄県国頭郡今帰仁村古宇利2593‐2,050-3748-7216
109,ホテル パームステイ古宇利,147881,yad371142,-,26.711893,128.01585,沖縄県国頭郡今帰仁村字古宇利2593-1,0980-56-5670
110,シーブリーズ古宇利,168709,yad364930,00915665,26.699005,128.01826,沖縄県国頭郡今帰仁村古宇利220,0980-56-1335
111,ラ・カシータ古宇利島,153394,-,00030596,26.71236273951552,128.01615740966622,沖縄県国頭郡今帰仁村古宇利２５９３−４,050-3635-5598
112,サンセットビーチホテル,166371,yad396231,00031037,26.314772,127.75558,沖縄県中頭郡北谷町美浜8-11,098-926-1005
113,ビーチフロントタワーミハマ,160954,yad341488,00905490,26.308245,127.76054,沖縄県中頭郡北谷町北谷１丁目13－６,098-988-5553
114,テラスガーデン美浜リゾート,50896,yad310093,00030133,26.317547,127.75975,沖縄県中頭郡北谷町美浜2-5-18,098-961-6208
115,ブルーステーキワンダー沖縄北谷,181512,yad389916,00082213,26.329730603561643,127.74748470965378,沖縄県中頭郡北谷町浜川１１７−２６,
116,シーサイドホテル ザ・ビーチ,28029,yad338328,00030414,26.331928,127.74341,沖縄県中頭郡北谷町宮城3-134,098-926-2674
117,アクアパレス北谷 by コルディオ,177948,yad362979,00051057,26.320152,127.76099,沖縄県中頭郡北谷町桑江一丁目9番37号,098-970-8517
118,ザ・サンセットビレッジ沖縄北谷,166300,yad394768,00050667,26.318386,127.77584,沖縄県中頭郡北谷町吉原392-8,098-921-7012
119,Mr.KINJO PREMIUM TERRACE CHATAN,158675,-,00905148,26.31903,127.7605,沖縄県中頭郡北谷町桑江1-13-7,098-923-2688
120,Mr.KINJO in GRAND BLUE CHATAN,179593,yad365398,00914161,26.325171,127.75573,沖縄県中頭郡北谷町伊平88,098-923-2332
121,アラマハイナ コンドホテル,166935,yad367784,00002565,26.682657,127.88326,沖縄県国頭郡本部町山川1421-1,0980-51-7800
122,マリンピアザオキナワ,14058,yad316128,00907531,26.676777,127.88518,沖縄県国頭郡本部町浜元410,0980-48-3000
123,Sheraton Okinawa Sunmarina Resort,13554,yad314623,00002311,26.46128068352169,127.81183006732901,沖縄県国頭郡恩納村字冨着６６−１,098-965-2222
124,ANAインターコンチネンタル万座ビーチリゾート,16123,yad381702,00000550,26.508337,127.85793,沖縄県国頭郡恩納村瀬良垣2260,098-966-1211
125,パレスインムーンビーチ,8525,yad374395,00904123,26.450906,127.80327,沖縄県国頭郡恩納村前兼久1203,098-964-3512
126,ホテルみゆきビーチ,17845,yad395056,00900737,26.511339198300135,127.89189948082408,沖縄県国頭郡恩納村安富祖１５８３−２,098-967-8031
127,東横INN那覇旭橋駅前,52641,yad306413,00909969,26.214195,127.67603,沖縄県那覇市久米2-1-20,098-951-1045
128,コンフォートホテル那覇県庁前,73870,yad362445,00080218,26.213559,127.67776,沖縄県那覇市久茂地1-3-11,098-941-7311
129,ホテルリゾネックス名護,16354,yad339888,00030796,26.6037,127.93675,沖縄県名護市字山入端247-1,0980-53-8021
130,ホテルアクアチッタナハ,163087,yad304884,00081394,26.222231,127.68329,沖縄県那覇市前島3-2-20,050-1721-3341
131,琉球ホテル＆リゾート 名城ビーチ,183412,yad364143,00002956,26.10053,127.65943,沖縄県糸満市名城963番地,098-997-5550
132,ホテル百名伽藍,187553,yad385690,00001824,26.133043582780513,127.78528646731834,沖縄県南城市玉城百名 山下原 1299-1,098-949-1011
133,HIYORIオーシャンリゾート沖縄,180687,yad395499,00002828,26.441968,127.80547,沖縄県国頭郡恩納村仲泊1055-1,098-965-1600
134,伊計島温泉 AJリゾートアイランド伊計島,145332,yad354596,00030410,26.397207,128.002,沖縄県うるま市与那城伊計1286,098-983-1230
135,オキナワ グランメールリゾート,28400,yad371622,00030197,26.315079,127.81137,沖縄県沖縄市与儀2丁目8番1号,098-931-1500
136,ウェルネスリゾート沖縄 ユインチホテル南城,74545,yad396620,-,26.16529568305277,127.7693496096485,沖縄県南城市佐敷新里１６８８,098-947-0111
137,プチリゾート古宇利島,139847,yad311757,-,26.697486,128.01796,沖縄県国頭郡今帰仁村古宇利192,0980-56-1566
138,ベストウェスタン沖縄恩納ビーチ,107650,yad356024,00030136,26.432043,127.7587,沖縄県国頭郡恩納村真栄田1888,098-964-1130
139,ザ シギラ,188196,-,00001905,24.720798,125.33908,沖縄県宮古島市上野新里1405-201,0980-74-7400
140,シギラベイサイドスイート アラマンダ,56662,yad356578,00000998,24.724325,125.32194,沖縄県宮古島市上野字宮国975-6,0980-79-6100
141,ホテル シギラミラージュ ベイサイド,168769,yad330808,00002622,24.720798,125.33908,沖縄県宮古島市上野新里1405-201,0980-74-7400
142,ホテル シギラミラージュ ビーチフロント,188998,yad385325,00003183,24.718903,125.33919,沖縄県宮古島市上野字新里1405-271,0980-74-7600
143,ホットクロスポイント サンタモニカ,164696,yad353092,00031011,24.720481,125.33326,沖縄県宮古島市上野宮国974-1,0980-74-7300
144,ウェルネスヴィラ ブリッサ,56663,yad375822,00030993,24.716667,125.31918,沖縄県宮古島市上野宮国746-20,0980-76-3870
145,ヴィラブリゾート,49245,yad347077,00001077,24.808622,125.19135,沖縄県宮古島市伊良部字伊良部817,0980-78-6777
146,イラフ SUI ラグジュアリーコレクションホテル 沖縄宮古,168329,yad377836,00002573,24.809502983095914,125.18867912309989,沖縄県宮古島市伊良部伊良部８１８−５,0980-74-5511
147,ブルーオーシャン ホテル＆リゾート 宮古島,183102,yad370378,00003017,24.810533,125.2198,沖縄県宮古島市伊良部字池間添1101-1,0980-79-7971
148,ウォーターマークホテル沖縄 宮古島,184118,yad379336,00031122,24.837254,125.15814,沖縄県宮古島市伊良部佐和田前原1725,0980-78-5100
149,宮古島東急ホテル＆リゾーツ,540,yad347149,00000322,24.73968413398482,125.26226585640846,沖縄県宮古島市下地与那覇９１４,0980-76-2109
150,マリンロッジ・マレア宮古島,32480,yad308167,00912737,24.743281711631717,125.26099685280838,沖縄県宮古島市下地与那覇８４７−３,0980-76-3850
151,HOTEL LOCUS,164915,yad335040,00902590,24.804898292504866,125.27415436727708,沖縄県宮古島市平良下里３３８−４０,0980-79-0240
152,ホテルアトールエメラルド宮古島,8728,yad362861,00901480,24.80561,125.27473,沖縄県宮古島市平良字下里108-7,0980-73-9800
153,スマイルホテル宮古島,196058,yad336568,00920224,24.80471,125.28112,沖縄県宮古島市平良字西里225,0980-66-0111
154,宮古島来間リゾート シーウッドホテル,179123,yad389662,00002725,24.729683480759398,125.24365535193297,沖縄県宮古島市下地来間４８４−７,0980-74-7888
155,ヒルトン沖縄宮古島リゾート,187475,yad353775,00003061,24.801282,125.25913,沖縄県宮古島市平良久貝550-7,0980-75-3330
156,ホテル・トリフィート宮古島リゾート,181361,yad384013,00082103,24.778724,125.30138,沖縄県宮古島市平良下里2422-1,0980-75-7700
157,ホテルブリーズベイマリーナ,56659,yad334696,00000658,24.719756,125.32515,沖縄県宮古島市上野宮国784-1,0980-76-3000
158,ホテルピースアイランド宮古島,106042,yad304294,00901730,24.803002,125.28262,沖縄県宮古島市平良西里281-1,0980-72-1101
159,ホテルピースアイランド宮古島市役所通り,147385,yad326451,00901487,24.804666,125.28206,沖縄県宮古島市平良西里328,0980-79-5071
160,ホテルキャッスルヴィレッジ宮古島,136950,-,-,24.770317,125.34112,沖縄県宮古島市平良東仲宗根添1753-137,0980-74-2100
161,Palm Springs Miyakojima Resort,168635,yad383815,00906628,24.799241488207574,125.2692539161212,"沖縄県宮古島市平良久貝６５４−２３,Miyakojima-shi Hirara Kugai 654-23",
162,ヴィラ アマルフィ パームスプリングス宮古島リゾート,187383,yad379751,00914629,24.798533,125.26835,沖縄県宮古島市平良字久貝650-5,050-2018-7883
163,ヴィラマリブ パームスプリングス宮古島リゾート,187334,yad375055,00914431,24.798478566091404,125.26928925248525,沖縄県宮古島市平良久貝６５４−６７,050-2018-7883
164,宮古島ゲストハウスumioto,147098,yad393884,00901676,24.83439815878206,125.28754423714285,沖縄県宮古島市平良荷川取1234番地1,0980-79-5011
165,ひららの湯 たびのホテルリット宮古島,182136,yad393088,00082219,24.80144766025942,125.28369432364951,沖縄県宮古島市平良西里５９６,0980-75-3100
166,スーパーホテル那覇・新都心,70884,yad327902,00905969,26.22587643609191,127.69801651018902,沖縄県那覇市おもろまち４丁目１６−２７,098-861-9000
167,備瀬の宿 結,147140,-,-,26.702625,127.88198,沖縄県国頭郡本部町字備瀬311番地　　,090-7983-8165
168,ADANRESORT LANA Villa Suite,184401,yad343364,00051560,26.691156,127.88174,沖縄県国頭郡本部町石川434,0980-43-0073
169,コンドミニアムホテル しまんちゅクラブ,80831,yad344918,00902557,26.523645,127.92657,沖縄県国頭郡恩納村名嘉真2288-162,098-967-8281
170,星のテラスもとぶ山里,149306,yad378600,00002247,26.66669,127.90066,沖縄県国頭郡本部町山里1170-1,0980-47-7777
171,ホテルオーシャンズ今帰仁,151103,yad395328,00914675,26.697055,127.97341,沖縄県国頭郡今帰仁村仲宗根985,0980-56-1633
172,ANAインターコンチネンタル石垣リゾート,1973,yad315164,00000377,24.334844,124.18608,沖縄県石垣市真栄里354-1,0980-88-7111
173,フサキビーチリゾート ホテル＆ヴィラズ,38599,yad320535,00002667,24.36875,124.113,沖縄県石垣市新川1625番地,0980-88-7000
174,南の美ら花 ホテルミヤヒラ,4653,yad313960,00081099,24.338337,124.15553,沖縄県石垣市美崎町4-9,0570-00-6112
175,THIRD ISHIGAKIGAMI,182607,yad372614,00002834,24.33835413733586,124.15557075247537,沖縄県石垣市美崎町４−７,0980-83-6366
176,石垣島グランピング リゾート ヨーコブシ,75253,yad313888,00002329,24.488706362130554,124.27553481015,沖縄県石垣市伊原間２−７３７,0980-89-2345
177,ベッセルホテル石垣島,39430,yad357658,00080894,24.339991459747974,124.15147172363946,沖縄県石垣市浜崎町１丁目２−７,0980-88-0101
178,南十字星リゾート 石垣島 白保ノスタルジーガーデン,168229,yad367268,00916272,24.35324,124.24019,沖縄県石垣市白保85-2,0980-87-0791
179,SHIRAHO BEACHSIDE,187173,yad366523,00919525,24.354807,124.24473,沖縄県石垣市白保2106-6,050-8894-9014
180,星野リゾート 西表島ホテル,177935,yad372796,00002684,24.421369,123.77499,沖縄県八重山郡竹富町上原2-2,050-3134-8094
181,ラ・ティーダ西表リゾート,12527,-,00920920,24.25733223650243,123.86578665247346,沖縄県八重山郡竹富町南風見５０８−２０５,
182,星のや竹富島,172993,-,00003309,24.321744,124.09677,沖縄県八重山郡竹富町竹富,050-3134-8091
183,ホテルピースアイランド竹富島,138074,yad361618,00907610,24.332962,124.0839,沖縄県八重山郡竹富町竹富112-1,0980-84-5955
184,はいむるぶし,53418,yad366784,00001271,24.328880461220656,123.98959614048273,沖縄県八重山郡竹富町小浜２９３０−１,0980-85-3111
185,星野リゾート リゾナーレ小浜島,178403,yad331004,00002685,24.332932,123.99691,沖縄県八重山郡竹富町小浜2954,050-3134-8093
186,グレイス那覇,51874,yad309289,00915330,26.21181711,127.6818561,沖縄県那覇市松尾1-19-29　ＴＭビル2階受付,098-863-2752
187,ホテルモントレ　ラ・スール那覇（２０２６年４月３日オープン）,197858,yad383901,00003437,26.2135278,127.6811111,沖縄県那覇市松尾1-1-2,098-869-7111
188,ホテルグランコンソルト那覇,183095,yad397730,00082357,26.21238991,127.6823056,沖縄県那覇市松尾1-18-25,098-860-5577
189,Ｍｒ．ＫＩＮＪＯ　ｉｎ　ＭＡＴＳＵＯ,167690,yad383990,00905125,26.21187444,127.6828545,沖縄県那覇市松尾1-17-25,098-917-2067
190,Ｂｅｓｔ　ｅｖｅｒ　ｈｏｔｅｌ,182395,yad385138,00915364,26.2126261,127.6784558,沖縄県那覇市泉崎1-9-13,098-911-5077
191,さくらや国際通り,179822,-,-,26.2138764,127.6828277,沖縄県那覇市松尾1-3-16　2F,090-9078-1990
192,ホテルグレイスリー那覇,149369,yad306815,00081091,26.21427765,127.6825887,沖縄県那覇市松尾1-3-6,098-867-6111
193,Ｎｅｗ　Ｎｏｒｍａｌ　Ｃｏｎｄｏ　ｉｎ　県庁南口,182380,yad374652,00920486,26.2102441,127.6822461,沖縄県那覇市泉崎2-10-6,092-292-2431
194,メゾン津波３０２　＾,190283,yad364789,,26.2098866,127.6811511,沖縄県那覇市泉崎2-14-5　3階　メゾン津波302号,090-2969-0478
195,ホテルルートイン那覇旭橋駅東,15424,yad335822,00901469,26.21066719,127.6784065,沖縄県那覇市泉崎1-19-12,050-1722-5750
196,だるまマンション４０１　＾,171219,-,-,26.2135832,127.6778827,沖縄県那覇市久茂地1-3-18　だるまマンション,080-3592-6689
197,ザ　ロイヤルパークホテル　アイコニック　那覇（２０２６年１月３０日オープン）,196410,yad376067,00003353,26.2149435,127.6791502,沖縄県那覇市久茂地1-11-1 琉球銀行本店ビル 7階,098-988-6661
198,サンチャゴゲストハウス那覇,172613,yad361002,00906174,26.2109648,127.6779658,沖縄県那覇市泉崎1-18-3,080-4437-8570
199,ゆかるひ前島４Ｆ　＾,170894,-,-,26.2149351,127.682928,沖縄県那覇市前島2-15-31　ゆかるひ前島,080-4086-2001
200,かりゆしコンドミニアムリゾート那覇　グランステイ旭橋駅前,179591,yad308165,00051139,26.21121396,127.6776697,沖縄県那覇市泉崎1‐17‐2,098-967-7112
