宿名,楽天ID,じゃらんID,YahooID,緯度,経度,住所,電話番号
ラ・ジェント・ホテル大阪ベイ,158613,,,34.66264961,135.4346521,大阪府大阪市此花区桜島1丁目１番５７,06-4804-1771
Ｔａｂｉｓｔ　グローレ大阪,158583,,,34.66282825,135.4295956,大阪府大阪市此花区桜島3-3-2,06-7173-8585
リーベルホテル大阪,172378,,,34.66147891,135.4323838,大阪府大阪市此花区桜島1丁目1番35号,06-6462-3333
桜島パークサイド・ハウスＯＳＡＫＡ－ＢＡＹ,183152,,,34.6621816,135.4288634,大阪府大阪市此花区桜島3-7-25　ＴＩＩＤＡビル,06-7709-1484
ホテルユニバーサルポート,38281,,,34.66617353,135.4377019,大阪府大阪市此花区桜島1-1-111,050-1792-7748
ザ　パーク　フロント　ホテル　アット　ユニバーサル・スタジオ・ジャパン,147805,,,34.66773963,135.4371403,大阪府大阪市此花区島屋6-2-52,06-6460-0109
ホテル京阪　ユニバーサル・タワー,71921,,,34.66748449,135.4375075,大阪府大阪市此花区島屋6-2-45,06-6465-1001
ホテル近鉄ユニバーサル・シティ,16654,,,34.66840937,135.4368603,大阪府大阪市此花区島屋6-2-68,06-6465-6000
Ｕｎｉｖｅｒｓａｌ　ｆｒｏｎｔ　ｖｉｌｌａ　Ｓａｎｒｒｉｏｔｔ／民泊,194317,,,34.6611164,135.428736,大阪府大阪市此花区桜島3-7-8　Ｕｎｉｖｅｒｓａｌ　ｆｒｏｎｔ　ｖｉｌｌａ　Ｓａｎｒｒｉｏｔｔ,06-6282-7195
ホテルユニバーサルポートヴィータ,166138,,,34.66700349,135.4389249,大阪府大阪市此花区島屋6-1-16,050-1792-7748
オリエンタルホテル　ユニバーサル・シティ,182668,,,34.6688864,135.4378579,大阪府大阪市此花区島屋6丁目2-78,0570-051-153
ザ　シンギュラリホテル　＆　スカイスパ　アット　ユニバーサル・スタジオ・ジャパン,160809,,,34.66798265,135.4390074,大阪府大阪市此花区島屋6丁目2番25号,06-4804-9500
今昔荘　大阪　天保山　－　生洲・高灯籠　＾,185118,,,34.6566285,135.4319244,大阪府大阪市港区築港3-10-11　2階、3階、4階　今昔荘　大阪　天保山　－　生洲・高灯籠,06-4301-7792
今昔荘　大阪　天保山　－観桜・松柏－　＾,194272,,,34.6555718,135.4327537,大阪府大阪市港区築港3-9-24　今昔荘　大阪　天保山　-　観桜・松柏　,080-1415-4713
月夢館／民泊,190340,,,34.6622169,135.4441639,大阪府大阪市港区南市岡3-5-13　Ｔｕｓｋｉｙｕｍｅｋａｎ（月夢館）,090-9863-8338
今昔荘　大阪　天保山　－米商・魚商－　＾,195281,,,34.655111,135.4315916,"大阪府大阪市港区築港4-4-6 　マグチグループ株式会社築港分室2 ,3階",06-4301-7792
大阪ポートハウス／民泊,169181,,,34.6572154,135.4402717,大阪府大阪市港区港晴4-12-10　大阪ポートハウス,080-9475-6688
ＯＳＡＫＡ　ＰＯＲＴ　ＨＯＴＥＬ　Ｌ＇ＥＳＰＯＩＲ,188921,,,34.6550752,135.43612,大阪府大阪市港区築港3-1-14,06-6710-9286
Ｍａｒｉｎａ　Ｓｕｎｒｉｓｅ　Ｏｓａｋａ　Ｂａｙ,197098,,,34.6543325,135.4337883,大阪府大阪市港区築港3-6-22,06-4980-7078
ゲストハウス田中／民泊,194537,,,34.6611627,135.4449417,大阪府大阪市港区田中3-4-3　ゲストハウス田中,090-6967-6843
ＨＯＴＥＬ　ＳＡＩＬＳ,184907,,,34.6541472,135.4341305,大阪府大阪市港区築港3-6-5,06-6576-0125
旅館　励明園,40923,,,34.65386368,135.4318195,大阪府大阪市港区築港4-2-10,06-6572-3319
Ｃａｓａ　Ｇ．Ｓ．,193505,,,34.653555,135.4317775,大阪府大阪市港区築港4-1-18,050-1721-6872
バンデホテル天保山西,177784,,,34.65426125,135.4377633,大阪府大阪市港区築港1-6-12,06-6577-1110
ＴＯＭＡＲＯ,167983,,,34.65414009,135.4375022,大阪府大阪市港区築港1-6-33,06-7509-2126
ＧＵＥＳＴ　ＨＯＵＳＥ　Ｒｉｃｅ　築港,167597,,,34.65331984,135.4313576,大阪府大阪市港区築港4-9-11,00-0000-0000
バンデホテル天保山東,177783,,,34.6541172,135.4379382,大阪府大阪市港区築港1-6-5,06-6577-1110
ホテルシーガルてんぽーざん大阪,1469,,,34.65341367,135.4291226,大阪府大阪市港区海岸通1-5-15,06-6575-5000
ゲストハウスやどまる,162990,,,34.6527546,135.4328809,大阪府大阪市港区築港2-1-11,06-7173-0677
