宿名,楽天ID,じゃらんID,YahooID,緯度,経度,住所,電話番号
シャトレーゼロッジ熱海,188462,,,35.10417288,139.0770175,静岡県熱海市桃山町15-54,0557-35-9772
熱海温泉　湯宿一番地,7646,,,35.10198609,139.0777388,静岡県熱海市春日町1-2,0557-81-3651
熱海温泉　伊東園ホテル熱海館,108115,,,35.10207772,139.0764362,静岡県熱海市田原本町4-16,0570-020-780
スイートヴィラ　キュレーション　熱海　須藤水園,196585,,,35.1016339,139.0788461,静岡県熱海市春日町3-3,03-3346-8383
熱海温泉　月の栖　熱海聚楽ホテル,859,,,35.10119453,139.0780777,静岡県熱海市田原本町2-19,0557-81-5181
熱海温泉　さくらや旅館,54665,,,35.10107508,139.077675,静岡県熱海市東海岸町9-11,0557-81-0345
熱海温泉　ＧＵＥＳＴＨＯＵＳＥ　惠,164910,,,35.1013647,139.0790208,静岡県熱海市春日町1-25,0557-55-9356
レクトーレ熱海桃山（ＴＫＰ　Ｈｏｔｅｌｓ　＆　Ｒｅｓｏｒｔｓ）,147451,,,35.1053892,139.0771237,静岡県熱海市桃山町11-44,050-3803-6539
熱海の隠れ里,191688,,,35.1009625,139.0773316,静岡県熱海市東海岸町9-23,090-6010-5478
Ｒ－ｈｏｕｓｅ　６ｔｈ／民泊,195704,,,35.1044671,139.0803857,静岡県熱海市春日町10-12　R-house 6th,070-4474-0102
スイートヴィラ　キュレーション　熱海　桃乃八庵,184739,,,35.1031507,139.0809822,静岡県熱海市春日町8-18,03-3346-8383
プリンス　スマート　イン　熱海,181341,,,35.10484288,139.0803892,静岡県熱海市春日町17-14,050-3184-1143
ファンシービジネスホテル,38228,,,35.10108614,139.075489,静岡県熱海市咲見町10-10,0557-82-6211
ザ　グラン　リゾート　エレガンテ熱海,177016,,,35.1059593,139.0770949,静岡県熱海市桃山町12-13,0557-81-3334
東横ＩＮＮ熱海駅前,108403,,,35.10466366,139.0808773,静岡県熱海市春日町１２－４,0557-86-1045
素泊まり宿　瑞宝荘,18971,,,35.10092782,139.075278,静岡県熱海市咲見町10-8,0557-81-3215
東急バケーションズ熱海,196148,,,35.1004233,139.0761435,静岡県熱海市東海岸町7-3,0557-55-7109
横山大観ゆかりの宿　熱海　大観荘,7669,,,35.10227486,139.0741363,静岡県熱海市林が丘町7-1,0557-81-8137
ラビスタ熱海テラス（共立リゾート）２６年３月３１日グランドＯＰＥＮ,196679,,,35.1001444,139.078023,静岡県熱海市東海岸町8番19号,0557-81-5489
ゲストハウスｅｎｎｏｖａ,178607,,,35.10503539,139.0807745,静岡県熱海市春日町15-40,0557-29-6730
Ｃｕｔｅ＆Ｒｅｓｒｔ熱海　＾,195373,,,35.1061234,139.0790582,静岡県熱海市桃山町18-20　Cute＆Resrt熱海,090-9569-1365
ＡＴＡＭＩ　ＳＰＲＩＮＧ　ＴＥＲＲＡＣＥ　ＨＯＴＥＬ,183294,,,35.1037142,139.073701,静岡県熱海市林ヶ丘町13-12,070-8987-6884
熱海温泉　ＫＫＲホテル熱海（国家公務員共済組合連合会熱海共済会館）,16527,,,35.10188065,139.0814441,静岡県熱海市春日町7-39,0557-85-2000
熱海温泉　ホテルサンミ倶楽部　別館,52970,,,35.10016412,139.0794832,静岡県熱海市東海岸町14-66,0557-81-8000
スイートヴィラ　キュレーション　熱海　桃山雅苑,196583,,,35.1066427,139.078458,静岡県熱海市桃山町23-25,03-3346-8383
ウィスタリアンライフクラブ熱海,139461,,,35.1002558,139.0802692,静岡県熱海市東海岸町14-26,0557-82-2053
熱海望洋館,142646,,,35.106704,139.07649,静岡県熱海市桃山町8-27,0557-81-6968
熱海パールスターホテル,181405,,,35.099522,139.0763718,静岡県熱海市東海岸町6-45,0557-83-5489
貸切温泉のコンドミニアム　グランビュー熱海,28514,,,35.09971685,139.0755919,静岡県熱海市咲見町8-9,0557-85-0051
ｔｈｅ　ｖｉｌｌａ　ＮＯＫＩ　熱海温泉,198010,,,35.103893,139.0729456,静岡県熱海市林ガ丘町5-1,050-5477-8878
ホテルリゾーピア　熱海,50212,,,35.10119463,139.082019,静岡県熱海市東海岸町13-93,0557-83-5959
大江戸温泉物語Ｐｒｅｍｉｕｍ　あたみ,136832,,,35.09914192,139.0757391,静岡県熱海市咲見町8-3,050-3615-3456
熱海　南風楼　＾,189615,,,35.1054106,139.0728921,静岡県熱海市林ガ丘町20-12　熱海　南風楼,03-6379-7591
熱海シーサイドスパ＆リゾート,158527,,,35.0986845,139.0758183,静岡県熱海市東海岸町6-53,0557-82-8111
熱海温泉　ＲｅｌａｘＲｅｓｏｒｔＨｏｔｅｌ　リラックスリゾートホテル,28013,,,35.09989174,139.0723171,静岡県熱海市咲見町6-41,0557-84-0555
熱海温泉　アタミシーズンホテル（伊東園ホテルズ）,44112,,,35.09930293,139.0725171,静岡県熱海市咲見町6-1,0557-86-1551
ホテルブリーズベイ熱海ＡＮＮＥＸ,187532,,,35.1071124,139.0830833,静岡県熱海市海光町7-64,0557-29-6800
熱海温泉　古屋旅館,16668,,,35.09786425,139.0745559,静岡県熱海市東海岸町5-24,0557-81-0001
熱海温泉ホテル　夢いろは,29878,,,35.09852802,139.0726949,静岡県熱海市咲見町4-6,0557-82-1151
湯宿　みかんの木,76775,,,35.09751429,139.0744282,静岡県熱海市東海岸町1-11,0557-81-1533
熱海温泉　お部屋食と源泉かけ流しの宿　ホテル貫一,32113,,,35.09752817,139.0741504,静岡県熱海市東海岸町1-2,0557-81-3595
ブリーズベイシーサイドリゾート熱海（ＢＢＨホテルグループ）,72738,,,35.10723289,139.0837409,静岡県熱海市海光町7-79,0557-85-0280
源泉掛け流しの宿　ホテル　エスペランサリゾート熱海,184832,,,35.1067291,139.0844275,静岡県熱海市海光町3-1,0557-52-3371
Ａｐｔ熱海,196718,,,35.1071446,139.0841791,静岡県熱海市海光町8-15　キャピタル神　203号,080-3735-3030
熱海海光亭２０２／民泊,170970,,,35.1070664,139.0842794,静岡県熱海市海光町8-15　キャピタル神ｌｌ　202,03-6555-4602
Ｋｉｔｅｎ　－ｓｌｏｗ　＆　ｗｏｒｋ　ｓｔａｙ－,184733,,,35.0968831,139.073836,静岡県熱海市銀座町10-22,0557-82-0389
ＩＳＨＩＮＯＹＡ熱海／石のや熱海（ＴＫＰ　Ｈｏｔｅｌｓ　＆　Ｒｅｓｏｒｔｓ）,179717,,,35.10731169,139.0703736,静岡県熱海市熱海1739-35 パサニアホテル棟27階,050-3803-6751
ロマンス座カド,178558,,,35.0967837,139.0735118,静岡県熱海市銀座町7-8,0557-82-0389
ゲストハウス　マルヤ,149359,,,35.096543,139.0738517,静岡県熱海市銀座町7-8 1F,0557-82-0389
ホテルＳＨＥＮ★熱海温泉リゾート別荘　＾,168983,,,35.1098708,139.0816251,静岡県熱海市伊豆山1-12　熱海温泉リゾート別荘,080-4285-7863
熱海温泉　熱海ニューフジヤホテル（伊東園ホテルズ）,1459,,,35.09715872,139.0724061,静岡県熱海市銀座町1-16,0570-022-780
熱海海見える別荘　ホテルＳＨＥＮ　和洋室６部屋一棟貸切　ＭＡＸ１４人　＾,173934,,,35.10995813,139.0816457,静岡県熱海市伊豆山1013-2,080-4285-7863
ＴＨＥ　ＭＯＯＮ　熱海,191515,,,35.0960683,139.0748661,静岡県熱海市渚町8-5,0557-27-2220
珀－ＨａＫｕ－熱海来宮　〜夜を愉しむ湯宿〜,198716,,,35.1029386,139.0679433,静岡県熱海市西山町35-5,0557-55-7089
グリシーヌ熱海,140853,,,35.10584011,139.0683084,静岡県熱海市緑ヶ丘町１７４０ー６３,0557-85-1117
熱海温泉　料理旅館　渚館,30796,,,35.09527011,139.0751337,静岡県熱海市渚町11-11,0557-81-5054
ｂｎｂ＋　ＡＴＡＭＩ　ＲＥＳＯＲＴ,183594,,,35.0961751,139.0724975,静岡県熱海市中央町3-1号　カマダビル3階,0557-52-4690
グリシーヌ熱海　ペット館,140854,,,35.10575679,139.0681556,静岡県熱海市緑ヶ丘町１７４０ー６３,0557-85-1117
熱海温泉　熱海　ホテル渚館,197709,,,35.0952422,139.0750033,静岡県熱海市渚町11-9,0557-81-5054
熱海来宮の湯　松月,166006,,,35.09857167,139.0689836,静岡県熱海市上宿町19-5, 0557-81-2878
ヴィラージュ熱海,198719,,,35.0953406,139.0736616,静岡県熱海市中央町11-10,03-6302-0508
合宿所ｙｕｔｏｒｉｅ　熱海,196292,,,35.1043604,139.0671851,静岡県熱海市西山町32-25,080-5876-3692
リブマックスリゾート熱海シーフロント,167646,,,35.09473903,139.0749252,静岡県熱海市渚町14-12,055-783-0010
貸切露天風呂と天然食材のこだわり料理が満喫できる隠れ家　熱海温泉　ほり多,18976,,,35.100504,139.067139,静岡県熱海市西山町5-13,0557-83-2263
熱海温泉　法悦,40091,,,35.10125811,139.0666759,静岡県熱海市西山町10-9,0557-81-4475
大江戸温泉物語　ホテル水葉亭,160921,,,35.1095416,139.0860756,静岡県熱海市伊豆山190-1,050-3615-3456
熱海温泉　山木旅館,3044,,,35.09476732,139.0723368,静岡県熱海市中央町14-9,0557-81-2121
Ａｔｅｌｉｅｒ　＆　Ｈｏｓｔｅｌ　ナギサウラ,180107,,,35.09402424,139.0743028,静岡県熱海市渚町19-6,0557-52-4588
熱海温泉　三平荘,38267,,,35.09617264,139.0696008,静岡県熱海市水口町1-7,0557-81-5191
旅荘　天城,68189,,,35.09375081,139.0741228,静岡県熱海市渚町19-17,0557-81-2221
熱海温泉　実の別荘　Ｍｉｎｏｒｉ　Ｖｉｌｌａ,188891,,,35.1021098,139.0656624,静岡県熱海市西山町16-26,0557-55-9681
熱海倶楽部　迎賓館,75291,,,35.11167373,139.0712223,静岡県熱海市伊豆山1171,0557-81-6000
熱海ホテルパイプのけむり,75234,,,35.10380779,139.0653815,静岡県熱海市西山町16-53,0557-86-1777
隠れ古民家の貸切／Ａｔａｍｉ　Ｊａｐａｎｅｓｅ　Ｃｌａｓｓｉｃ　Ｈｏｕｓｅ／別途ＢＢＱハウス有！　＾,176200,,,35.1129975,139.0817321,静岡県熱海市伊豆山299,070-8300-5901
リブマックスリゾート熱海Ｏｃｅａｎ,182519,,,35.0931688,139.0742732,静岡県熱海市渚町22-8,0557-81-1150
熱海二号館　ダイヤモンド・悠　　＾,189378,,,35.1017579,139.0649602,静岡県熱海市西熱海町1-1-66　熱海二号館　ダイヤモンド・悠,070-4474-0102
１２３ＭＵＳＩＣ,191513,,,35.1122166,139.0846562,静岡県熱海市伊豆山573-2,090-9223-8423
マリーナベイ熱海／民泊,190999,,,35.0929113,139.0736418,静岡県熱海市渚町24-8　プレミアムリゾートクラブ,080-5912-3010
ホテルグランバッハ熱海クレッシェンド,142952,,,35.110761,139.068124,静岡県熱海市伊豆山1048-4,0557-82-1717
熱海温泉　旅館　立花,14505,,,35.09262869,139.0731896,静岡県熱海市昭和町5-13,0557-81-3564
伊豆山温泉　ホテルニューさがみや,38893,,,35.11214906,139.0859516,静岡県熱海市伊豆山601,0557-80-3531
一棟貸し【ルネ伊豆山ＶＩＬＬＡ１３４】相模湾を眼下に望む温泉付きの宿／民泊,191101,,,35.1142378,139.0802359,静岡県熱海市伊豆山1172-134　ルネ熱海伊豆山ｖｉｌｌａ134,0460-83-8912
熱海温泉　湯之宿　おお川,40877,,,35.09663917,139.0661983,静岡県熱海市水口町11-32,0557-81-6288
熱海温泉　熱海玉の湯ホテル,7313,,,35.09214821,139.0738256,静岡県熱海市渚町26-11,0557-81-3561
ふふ　熱海,165597,,,35.095761,139.0669429,静岡県熱海市水口町11-48,0570-0117-22
伊豆の海,167454,,,35.09205568,139.073314,静岡県熱海市昭和町7-1,0557-86-5888
ラビスタ伊豆山（共立リゾート）,18342,,,35.11508462,139.0773356,静岡県熱海市伊豆山433-13,0557-80-3666
完全貸切　秘密基地　全室温泉　美食駅近　熱海温泉ハウス,172698,,,35.0927546,139.0701187,静岡県熱海市昭和町16-2,080-7694-8256
Ｒａｋｕｔｅｎ　ＳＴＡＹ　熱海,186096,,,35.091501,139.0733064,静岡県熱海市和田浜南３－５,050-1750-9719
ＷＥ　ＨＯＭＥ　ＳＴＡＹ　熱海・来宮,193531,,,35.0920137,139.071619,静岡県熱海市昭和町10-13,047-712-7740
熱海温泉　昭和倶楽部,147964,,,35.0927907,139.0694882,静岡県熱海市昭和町17-31,0557-81-3131
熱海・伊豆山　佳ら久,197470,,,35.11314313,139.0868454,静岡県熱海市伊豆山630-1,0557-55-7900
熱海青青荘,136911,,,35.10636577,139.0627955,静岡県熱海市西山町18-6,0557-85-0107
熱海温泉　熱海の癒（ゆ）　新かどや,8223,,,35.09296187,139.0685788,静岡県熱海市小嵐町14-8,0557-81-6185
Ａｔａｍｉ　Ｉｋｋｙｕａｎ,171883,,,35.09615738,139.0647431,静岡県熱海市水口町2-20-17,055-933-6355
ＴＨＥ　ＢＡＳＥ　ＧＬＡＭＰＩＮＧ　ＡＴＡＭＩ　ＰＲＥＭＩＥＲ,196721,,,35.1016321,139.0621405,静岡県熱海市西熱海町1-4-38,0557-52-3105
熱海温泉　ホテル大野屋（伊東園ホテルズ）,54209,,,35.09096776,139.0729591,静岡県熱海市和田浜南町3-9,0570-024-780
羽衣楼,198426,,,35.0969108,139.0640139,静岡県熱海市水口町2-18-1,050-8887-1254
サンダンス・リゾート熱海,166191,,,35.0962902,139.0643749,静岡県熱海市水口町2-20-16,0557-85-9040
熱海温泉　ホテル　サンミ倶楽部,15680,,,35.09053451,139.0741618,静岡県熱海市和田浜南町5-8,0557-81-8000
熱海温泉　金城館（伊東園ホテルズ）,9557,,,35.0914732,139.0705871,静岡県熱海市昭和町10-33,0557-81-6261
熱海オーシャンビュースパリゾートヴィラ／熱海の海・市街地海上花火が一望／ＢＢＱ可　＾,186044,,,35.09212524,139.0683255,静岡県熱海市小嵐町13-25　Ｖｉｌｌａ　Ｍａｒｅ　Ａｔａｍｉ,070-8300-5901
あたみの旅館　＾,186682,,,35.0913772,139.0696169,静岡県熱海市昭和町13-22　Ａｔａｍｉ　ｎｏ　Ｒｙｏｋａｎ,090-4018-5457
ＷＡ亭　風こみち,79285,,,35.10079691,139.0613847,静岡県熱海市梅園町28-18,0557-86-0260
熱海温泉　ウオミサキホテル（伊東園ホテルズ）,75267,,,35.0897013,139.0754062,静岡県熱海市和田浜南町7-2,0557-86-2211
熱海・花火徒歩１０分の和モダン宿｜舞庵／民泊,194883,,,35.091287,139.0693418,静岡県熱海市昭和町13-16　舞庵,080-8424-6030
ＰｉＤＤ’ｓ　Ｆａｍｉｌｙ　熱海,196087,,,35.1104719,139.0634457,静岡県熱海市日金町1-5,0557-29-6671
みのやホテル,29919,,,35.08931119,139.0763148,静岡県熱海市和田浜南町7-12,0557-81-8291
熱海伊豆山温泉　ハートピア熱海,108981,,,35.11587085,139.0853099,静岡県熱海市伊豆山717-18,0120-405-056
伊豆山研修センター,167795,,,35.1168875,139.0734643,静岡県熱海市伊豆山1065-1,0557-80-5018
スイートヴィラ　熱海別邸　双梅庵,196591,,,35.0939079,139.0646367,静岡県熱海市水口町2-15-25,03-3346-8383
絶景掛け流しの宿　熱海月右衛門,149439,,,35.1012008,139.0604753,静岡県熱海市西熱海町1-5-16,0557-81-8686
熱海温泉　秀花園湯の花膳,7666,,,35.08896808,139.0767838,静岡県熱海市和田浜南町7-13,0557-83-5151
熱海ニュー美松,198339,,,35.0947946,139.0633999,静岡県熱海市水口町2-16-66,0557-82-1600
ジャパン・カントリーサイド熱海,168666,,,35.115305,139.0873725,静岡県熱海市伊豆山764,090-5397-2012
あたみ石亭別邸桜岡茶寮,187330,,,35.0901394,139.0698604,静岡県熱海市和田町6-17　別邸桜岡茶寮,0557-81-6123
レクトーレ熱海小嵐（ＴＫＰ　Ｈｏｔｅｌｓ　＆　Ｒｅｓｏｒｔｓ）,147565,,,35.0922767,139.0655969,静岡県熱海市小嵐町15-9,050-3803-6538
熱海温泉　熱海後楽園ホテル,1656,,,35.08841265,139.0791948,静岡県熱海市和田浜南町10-1,0557-81-0041
＃熱海　レガロ　＃来宮神社近く　＾,191018,,,35.1057508,139.0596472,静岡県熱海市西熱海町1-27-31　熱海レガロ,070-8943-2542
ナチュラル伊豆フレンチ　熱海風雅,167693,,,35.1012369,139.0588893,静岡県熱海市梅園町16-8,0570-003-141
亀の井ホテル　熱海,84856,,,35.09200908,139.0639987,静岡県熱海市水口町2-12-3　,0557-83-6111
