宿名,楽天ID,じゃらんID,緯度,経度,住所,電話番号,
準備中,197799,,,35.7144976,139.7979099,東京都台東区,000-000-0000
スーパーホテル浅草,135551,,,35.71499748,139.7982563,東京都台東区浅草2-33-1,03-5806-9000
浅草ＹＡＩＣＨＩの宿　＾,175877,,,35.7154114,139.7981649,東京都台東区浅草2－32－2,080-3490-6745
馬一ＩＮＮ　＾,175908,,,35.7154114,139.7981649,東京都台東区浅草2－32－2,080-3490-6745
天然温泉　凌天の湯　御宿　野乃浅草別邸,187462,,,35.71487453,139.7950474,東京都台東区浅草2-7-26,03-5830-0130
花築・浅草和心ホテル　＾,186180,,,35.71477424,139.7985318,東京都台東区花川戸2-7-2　花築・浅草和心ホテル,03-6802-7712
ホップイン東京浅草,191670,,,35.71413136,139.7983684,東京都台東区花川戸1-7-8,03-3841-6070
ＴｅｎＴｅｎ　Ｇｕｅｓｔｈｏｕｓｅ,187943,,,35.7163171,139.7973474,東京都台東区浅草3-4-12,070-5652-8628
ＯＴＨＥＲ　ＳＰＡＣＥ　Ａｓａｋｕｓａ,187180,,,35.7163927,139.7972674,東京都台東区浅草3-4-10,03-5808-9286
ホテルトレンド東武浅草駅北,171907,,,35.71361293,139.7982158,東京都台東区花川戸1-15-4,03-3843-1177
サクラホステル浅草,70216,,,35.7159945,139.7948399,東京都台東区浅草2-24-2,03-3847-8111
リッチモンドホテル浅草,136139,,,35.71431968,139.7943178,東京都台東区浅草2丁目7番１０号,03-5806-0255
ホテルプラスホステル東京浅草２,188307,,,35.7133484,139.7984121,東京都台東区花川戸1-7-10,050-1808-6043
ＴＨＥ　ＫＡＮＺＡＳＨＩ　ＴＯＫＹＯ　ＡＳＡＫＵＳＡ（ザ　カンザシ　東京　浅草）,182336,,,35.7164205,139.7952283,東京都台東区浅草2-27-10,03-5830-6151
天然温泉　凌雲の湯　御宿　野乃浅草（ドーミーイン・御宿野乃　ホテルズグループ）,176643,,,35.71500812,139.7941425,東京都台東区浅草2-7-20,03-5830-0510
Ｇｌａｍｐｉｎｇ　Ｔｏｋｙｏ　Ａｓａｋｕｓａ,180412,,,35.7161231,139.7947063,東京都台東区浅草2-24-8,03-6802-7206
ｉｌｌｉ　Ｈａｋｕ　Ａｓａｋｕｓａ,198762,,,35.7151821,139.7993411,東京都台東区花川戸2-8-11,050-1720-7210
トーセイホテルココネ浅草,182421,,,35.71668033,139.7982914,東京都台東区浅草三丁目26番10号,03-3874-5541
Ｔｏｋｙｏ　Ｈｏｕｓｅ　Ａｓａｋｕｓａ／民泊,173898,,,35.71477032,139.7995915,東京都台東区花川戸2-9-13,090-6034-2677
浅草九倶楽部ホテル,183935,,,35.7158392,139.7939965,東京都台東区浅草2-16-2,03-5830-6533
旅館浅草指月,147,,,35.71240882,139.7959039,東京都台東区浅草1-31-11,03-3843-2345
Ｈｏｔｅｌ　Ａｓａｋｕｓａ　ＫＡＮＮＯＮＵＲＡ（ホテル　浅草観音裏）,184205,,,35.7169577,139.7982223,東京都台東区浅草3-29-3,03-4500-6249
Ｔ　Ｈｏｔｅｌ浅草　＾,194912,,,35.7172107,139.7975331,東京都台東区浅草3-31-3　Ｔ　Ｈｏｔｅｌ,03-5972-1397
リッチモンドホテルプレミア浅草,149160,,,35.7141553,139.7937156,東京都台東区浅草2-6-7,03-5806-3155
旅館　加茂川,28024,,,35.71238382,139.7957955,東京都台東区浅草1-30-10,03-3843-2681
茶室ｒｙｏｋａｎ　ａｓａｋｕｓａ,172735,,,35.71727285,139.7973445,東京都台東区浅草3-32-12,03-5808-9021
Ｓｔａｙ　ＳＡＫＵＲＡ　Ｔｏｋｙｏ　浅草　横綱　Ｈｏｔｅｌ,178598,,,35.71718092,139.7979013,東京都台東区浅草3-30-5,050-2018-7882
浅草楓,183145,,,35.7122976,139.795853,東京都台東区浅草1-31-5,050-6883-0088
レジデンシャルホテル　ビーコンテ浅草,130043,,,35.7131948,139.7941429,東京都台東区浅草2-4-2,03-5827-5622
ｈｏｔｅｌ　ＭＯＮｄａｙ　浅草,177707,,,35.71668823,139.7944491,東京都台東区浅草2-26-7,03-5830-8530
ＳＡＵＮＡＬＡＮＤ　ＡＳＡＫＵＳＡ,184424,,,35.7121489,139.7973909,東京都台東区浅草1-34-2,03-5830-7140
旅館　三河屋本店,44938,,,35.71209776,139.796165,東京都台東区浅草1-30-12,03-3844-8807
ケイズハウス東京オアシス,165202,,,35.715796,139.7935305,東京都台東区浅草2-14-10,03-3844-4447
ＡＳＡＫＵＳＡ茶華－ｃｈａｋａ－,180569,,,35.7171942,139.7984321,東京都台東区浅草3-29-10,080-8500-9217
和ハウス（なごみハウス）,172344,,,35.7171238,139.7987633,東京都台東区浅草3-28-10,050-8880-4077
ＭＩＭＡＲＵ　ＳＵＩＴＥＳ　東京浅草,184623,,,35.7129956,139.7994896,東京都台東区花川戸1-10-13,03-6284-7566
浅草ビューホテル　アネックス　六区,177986,,,35.71515059,139.7931476,東京都台東区浅草2丁目９番10号,0570-003-235
Ｍｉｎｎ浅草,182646,,,35.7136321,139.8001502,東京都台東区花川戸1-13-12,050-3199-1972
